Ticker,Ticker_name,Exposure,Date,day_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-08-17,-0.0143
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-08-17,-0.0013
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-08-17,-0.0022
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-08-17,-0.004
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-08-17,0.0
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-08-17,0.0
TIP,ISHARES:TIPS BD ETF,Bonds,2026-08-17,-0.0021
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-08-17,-0.0084
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-08-17,-0.0659
CMCSA,COMCAST ,Communication Services,2026-08-17,-0.0233
DIS,THE WALT DISNEY COMPANY,Communication Services,2026-08-17,-0.0314
ECHO,ECHOSTAR CORPORATION,Communication Services,2026-08-17,0.0067
FOXA,FOX ,Communication Services,2026-08-17,0.0022
GOOGL,ALPHABET INC.,Communication Services,2026-08-17,-0.0055
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2026-08-17,-0.0213
META,"META PLATFORMS, INC.",Communication Services,2026-08-17,-0.0354
NFLX,"NETFLIX, INC.",Communication Services,2026-08-17,-0.0274
NWSA,NEWS CORP.,Communication Services,2026-08-17,-0.0158
OMC,OMNICOM GROUP INC.,Communication Services,2026-08-17,-0.0241
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-08-17,0.0138
T,AT&T INC.,Communication Services,2026-08-17,-0.0084
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-08-17,-0.0305
TMUS,"T-MOBILE US, INC.",Communication Services,2026-08-17,-0.0136
TTD,"THE TRADE DESK, INC.",Communication Services,2026-08-17,-0.0523
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2026-08-17,-0.0216
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2026-08-17,-0.0087
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-08-17,-0.0021
ABNB,"AIRBNB, INC.",Consumer Discretionary,2026-08-17,-0.0259
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-08-17,-0.0051
APTV,APTIV PLC,Consumer Discretionary,2026-08-17,0.0097
AZO,"AUTOZONE, INC.",Consumer Discretionary,2026-08-17,-0.0019
BBY,"BEST BUY CO., INC.",Consumer Discretionary,2026-08-17,-0.0113
BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,2026-08-17,-0.0344
CCL,CARNIVAL CORP,Consumer Discretionary,2026-08-17,-0.0139
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,2026-08-17,0.0078
CVNA,CARVANA CO.,Consumer Discretionary,2026-08-17,-0.0728
DASH,"DOORDASH, INC.",Consumer Discretionary,2026-08-17,-0.0198
DECK,DECKERS OUTDOOR ,Consumer Discretionary,2026-08-17,-0.032
DHI,"D.R. HORTON, INC.",Consumer Discretionary,2026-08-17,-0.0032
DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,2026-08-17,-0.0313
DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,2026-08-17,0.0011
EBAY,EBAY INC.,Consumer Discretionary,2026-08-17,-0.0213
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2026-08-17,-0.0427
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-08-17,-0.0223
GM,GENERAL MOTORS COMPANY,Consumer Discretionary,2026-08-17,-0.0277
GPC,GENUINE PARTS COMPANY,Consumer Discretionary,2026-08-17,-0.0186
GRMN,GARMIN LTD,Consumer Discretionary,2026-08-17,-0.0087
HAS,"HASBRO, INC.",Consumer Discretionary,2026-08-17,-0.0171
HD,"THE HOME DEPOT, INC.",Consumer Discretionary,2026-08-17,-0.0029
HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,2026-08-17,-0.0033
LEN,LENNAR ,Consumer Discretionary,2026-08-17,-0.0033
