Ticker,Ticker_name,Exposure,Date,mtd_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-06-03,0.0009
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-06-03,-0.0078
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-06-03,-0.0069
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-06-03,-0.0068
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-06-03,-0.004
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-06-03,-0.0108
TIP,ISHARES:TIPS BD ETF,Bonds,2026-06-03,-0.0129
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-06-03,-0.0052
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-06-03,-0.1044
CMCSA,COMCAST ,Communication Services,2026-06-03,-0.0543
DIS,THE WALT DISNEY COMPANY,Communication Services,2026-06-03,-0.024
EA,ELECTRONIC ARTS INC.,Communication Services,2026-06-03,0.0045
FOXA,FOX ,Communication Services,2026-06-03,0.0056
GOOGL,ALPHABET INC.,Communication Services,2026-06-03,-0.0561
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2026-06-03,-0.0247
META,"META PLATFORMS, INC.",Communication Services,2026-06-03,-0.0151
NFLX,"NETFLIX, INC.",Communication Services,2026-06-03,-0.0523
NWSA,NEWS CORP.,Communication Services,2026-06-03,-0.0019
OMC,OMNICOM GROUP INC.,Communication Services,2026-06-03,0.0142
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-06-03,-0.0151
SATS,ECHOSTAR CORPORATION,Communication Services,2026-06-03,-0.064
T,AT&T INC.,Communication Services,2026-06-03,-0.0504
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-06-03,-0.0322
TMUS,"T-MOBILE US, INC.",Communication Services,2026-06-03,-0.0324
TTD,"THE TRADE DESK, INC.",Communication Services,2026-06-03,-0.0464
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2026-06-03,-0.0373
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2026-06-03,-0.0243
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-06-03,-0.0004
ABNB,"AIRBNB, INC.",Consumer Discretionary,2026-06-03,0.0021
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-06-03,-0.0762
APTV,APTIV PLC,Consumer Discretionary,2026-06-03,0.1307
AZO,"AUTOZONE, INC.",Consumer Discretionary,2026-06-03,0.0431
BBY,"BEST BUY CO., INC.",Consumer Discretionary,2026-06-03,-0.0798
BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,2026-06-03,-0.0158
CCL,CARNIVAL CORP,Consumer Discretionary,2026-06-03,-0.0317
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,2026-06-03,-0.0979
CVNA,CARVANA CO.,Consumer Discretionary,2026-06-03,-0.1281
DASH,"DOORDASH, INC.",Consumer Discretionary,2026-06-03,-0.0296
DECK,DECKERS OUTDOOR ,Consumer Discretionary,2026-06-03,-0.057
DHI,"D.R. HORTON, INC.",Consumer Discretionary,2026-06-03,-0.0176
DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,2026-06-03,-0.0123
DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,2026-06-03,-0.0277
EBAY,EBAY INC.,Consumer Discretionary,2026-06-03,-0.0041
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2026-06-03,-0.0017
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-06-03,-0.0992
GM,GENERAL MOTORS COMPANY,Consumer Discretionary,2026-06-03,-0.0185
GPC,GENUINE PARTS COMPANY,Consumer Discretionary,2026-06-03,-0.0043
GRMN,GARMIN LTD,Consumer Discretionary,2026-06-03,0.0172
HAS,"HASBRO, INC.",Consumer Discretionary,2026-06-03,-0.0237
HD,"THE HOME DEPOT, INC.",Consumer Discretionary,2026-06-03,-0.0131
HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,2026-06-03,0.0113
LEN,LENNAR ,Consumer Discretionary,2026-06-03,-0.0036
LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,2026-06-03,-0.0313
LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,2026-06-03,-0.0393
LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,2026-06-03,0.0057
MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,2026-06-03,0.0031
MCD,MCDONALD'S ,Consumer Discretionary,2026-06-03,-0.0212
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,2026-06-03,0.106
NCLH,NORWEGIAN CRUISE LINE HOLDINGS LTD.,Consumer Discretionary,2026-06-03,-0.0104
NKE,"NIKE, INC.",Consumer Discretionary,2026-06-03,-0.0523
NVR,"NVR, INC.",Consumer Discretionary,2026-06-03,0.0024
ORLY,"O'REILLY AUTOMOTIVE, INC.",Consumer Discretionary,2026-06-03,0.0058
PHM,"PULTEGROUP, INC.",Consumer Discretionary,2026-06-03,-0.0082
POOL,POOL ,Consumer Discretionary,2026-06-03,-0.0039
RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,2026-06-03,0.0063
RL,RALPH LAUREN ,Consumer Discretionary,2026-06-03,-0.0123
ROST,"ROSS STORES, INC.",Consumer Discretionary,2026-06-03,0.0038
SBUX,STARBUCKS ,Consumer Discretionary,2026-06-03,-0.033
TJX,"THE TJX COMPANIES, INC.",Consumer Discretionary,2026-06-03,0.0204
TPR,"TAPESTRY, INC.",Consumer Discretionary,2026-06-03,-0.0402
TSCO,TRACTOR SUPPLY COMPANY,Consumer Discretionary,2026-06-03,-0.0758
TSLA,"TESLA, INC.",Consumer Discretionary,2026-06-03,-0.0277
ULTA,"ULTA BEAUTY, INC.",Consumer Discretionary,2026-06-03,-0.074
WSM,"WILLIAMS-SONOMA, INC.",Consumer Discretionary,2026-06-03,0.0174
WYNN,"WYNN RESORTS, LIMITED",Consumer Discretionary,2026-06-03,0.0369
YUM,"YUM! BRANDS, INC.",Consumer Discretionary,2026-06-03,0.0033
ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,2026-06-03,0.0543
BF.B,BROWN-FORMAN ,Consumer Staples,2026-06-03,-0.0373
BG,BUNGE LIMITED,Consumer Staples,2026-06-03,0.0658
CAG,"CONAGRA BRANDS, INC.",Consumer Staples,2026-06-03,-0.0527
CASY,"CASEY'S GENERAL STORES, INC.",Consumer Staples,2026-06-03,0.0092
CHD,"CHURCH & DWIGHT CO., INC.",Consumer Staples,2026-06-03,-0.0287
CL,COLGATE-PALMOLIVE COMPANY,Consumer Staples,2026-06-03,-0.0584
CLX,THE CLOROX COMPANY,Consumer Staples,2026-06-03,-0.0166
COST,COSTCO WHOLESALE ,Consumer Staples,2026-06-03,0.0058
CPB,CAMPBELL SOUP COMPANY,Consumer Staples,2026-06-03,-0.0057
DG,DOLLAR GENERAL ,Consumer Staples,2026-06-03,-0.0499
DLTR,"DOLLAR TREE, INC.",Consumer Staples,2026-06-03,-0.0338
EL,THE ESTEE LAUDER COMPANIES INC.,Consumer Staples,2026-06-03,-0.0776
GIS,"GENERAL MILLS, INC.",Consumer Staples,2026-06-03,-0.0485
HRL,HORMEL FOODS ,Consumer Staples,2026-06-03,-0.0043
HSY,THE HERSHEY COMPANY,Consumer Staples,2026-06-03,-0.0558
KDP,KEURIG DR PEPPER INC.,Consumer Staples,2026-06-03,0.0173
KHC,THE KRAFT HEINZ COMPANY,Consumer Staples,2026-06-03,-0.0521
KMB,KIMBERLY-CLARK ,Consumer Staples,2026-06-03,-0.0291
KO,THE COCA-COLA COMPANY,Consumer Staples,2026-06-03,-0.0032
KR,THE KROGER CO.,Consumer Staples,2026-06-03,-0.0148
KVUE,KENVUE INC.,Consumer Staples,2026-06-03,-0.026
MDLZ,"MONDELEZ INTERNATIONAL, INC.",Consumer Staples,2026-06-03,0.0023
MKC,"MCCORMICK & COMPANY, INC.",Consumer Staples,2026-06-03,-0.0228
MNST,MONSTER BEVERAGE ,Consumer Staples,2026-06-03,0.0109
MO,"ALTRIA GROUP, INC.",Consumer Staples,2026-06-03,0.0103
PEP,"PEPSICO, INC.",Consumer Staples,2026-06-03,-0.0114
PG,THE PROCTER & GAMBLE COMPANY,Consumer Staples,2026-06-03,-0.0235
PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,2026-06-03,-0.0081
SJM,THE J. M. SMUCKER COMPANY,Consumer Staples,2026-06-03,-0.0187
STZ,"CONSTELLATION BRANDS, INC.",Consumer Staples,2026-06-03,-0.0246
SYY,SYSCO ,Consumer Staples,2026-06-03,-0.0075
TAP,MOLSON COORS BEVERAGE COMPANY,Consumer Staples,2026-06-03,-0.023
TGT,TARGET ,Consumer Staples,2026-06-03,-0.0179
TSN,"TYSON FOODS, INC.",Consumer Staples,2026-06-03,-0.0644
WMT,WALMART INC.,Consumer Staples,2026-06-03,0.0098
APA,APA ,Energy,2026-06-03,0.0522
BKR,BAKER HUGHES COMPANY,Energy,2026-06-03,0.0061
COP,CONOCOPHILLIPS,Energy,2026-06-03,0.0445
CVX,CHEVRON ,Energy,2026-06-03,0.0397
DVN,DEVON ENERGY ,Energy,2026-06-03,0.038
EOG,"EOG RESOURCES, INC.",Energy,2026-06-03,0.0609
EQT,EQT ,Energy,2026-06-03,-0.0084
EXE,EXPAND ENERGY ,Energy,2026-06-03,-0.0205
FANG,"DIAMONDBACK ENERGY, INC.",Energy,2026-06-03,0.0998
HAL,HALLIBURTON COMPANY,Energy,2026-06-03,0.0561
KMI,"KINDER MORGAN, INC.",Energy,2026-06-03,0.0093
MPC,MARATHON PETROLEUM ,Energy,2026-06-03,0.0741
OKE,"ONEOK, INC.",Energy,2026-06-03,0.0335
OXY,OCCIDENTAL PETROLEUM ,Energy,2026-06-03,0.0532
PSX,PHILLIPS 66,Energy,2026-06-03,0.05
SLB,SCHLUMBERGER N.V.,Energy,2026-06-03,0.0422
TPL,TEXAS PACIFIC LAND ,Energy,2026-06-03,0.035
TRGP,TARGA RESOURCES CORP.,Energy,2026-06-03,0.0299
VLO,VALERO ENERGY ,Energy,2026-06-03,0.0679
WMB,"THE WILLIAMS COMPANIES, INC.",Energy,2026-06-03,0.0038
XOM,EXXON MOBIL ,Energy,2026-06-03,0.05
UNG,UNITED STATES NAT GAS,Energy Complex,2026-06-03,-0.0184
USO,UNITED STATES OIL FUND,Energy Complex,2026-06-03,0.0912
ACGL,ARCH CAPITAL GROUP LTD.,Financials,2026-06-03,-0.0162
AFL,AFLAC INC.,Financials,2026-06-03,0.0185
AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,2026-06-03,-0.0226
AIZ,"ASSURANT, INC.",Financials,2026-06-03,-0.0018
AJG,ARTHUR J. GALLAGHER & CO.,Financials,2026-06-03,0.0069
ALL,THE ALLSTATE ,Financials,2026-06-03,0.0158
AMP,"AMERIPRISE FINANCIAL, INC.",Financials,2026-06-03,-0.0107
AON,AON PLC,Financials,2026-06-03,-0.0015
APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,2026-06-03,-0.0339
ARES,ARES MANAGEMENT CORP,Financials,2026-06-03,-0.042
AXP,AMERICAN EXPRESS COMPANY,Financials,2026-06-03,-0.0502
BAC,BANK OF AMERICA ,Financials,2026-06-03,0.0155
BEN,"FRANKLIN RESOURCES, INC.",Financials,2026-06-03,-0.021
BLK,"BLACKROCK, INC.",Financials,2026-06-03,-0.0535
BNY,THE BANK OF NEW YORK MELLON ,Financials,2026-06-03,0.0082
BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,2026-06-03,0.0019
BRO,"BROWN & BROWN, INC.",Financials,2026-06-03,-0.0197
BX,BLACKSTONE INC,Financials,2026-06-03,-0.0572
C,CITIGROUP INC.,Financials,2026-06-03,0.032
CB,CHUBB LTD,Financials,2026-06-03,0.0033
CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,2026-06-03,-0.1453
CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,2026-06-03,-0.0117
CINF,CINCINNATI FINANCIAL ,Financials,2026-06-03,0.0038
CME,CME GROUP INC.,Financials,2026-06-03,-0.0764
