Ticker,Ticker_name,Exposure,Date,qtd_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-05-20,-0.0503
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-05-20,0.0038
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-05-20,-0.0178
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-05-20,-0.0095
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-05-20,-0.0051
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-05-20,-0.0003
TIP,ISHARES:TIPS BD ETF,Bonds,2026-05-20,0.0001
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-05-20,-0.0321
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-05-20,-0.3301
CMCSA,COMCAST ,Communication Services,2026-05-20,-0.1334
DIS,THE WALT DISNEY COMPANY,Communication Services,2026-05-20,0.0799
EA,ELECTRONIC ARTS INC.,Communication Services,2026-05-20,-0.0112
FOXA,FOX ,Communication Services,2026-05-20,0.0981
GOOGL,ALPHABET INC.,Communication Services,2026-05-20,0.3524
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2026-05-20,0.0782
META,"META PLATFORMS, INC.",Communication Services,2026-05-20,0.0576
NFLX,"NETFLIX, INC.",Communication Services,2026-05-20,-0.0838
NWSA,NEWS CORP.,Communication Services,2026-05-20,0.0337
OMC,OMNICOM GROUP INC.,Communication Services,2026-05-20,-0.0455
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-05-20,0.1231
SATS,ECHOSTAR CORPORATION,Communication Services,2026-05-20,0.2112
T,AT&T INC.,Communication Services,2026-05-20,-0.14
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-05-20,-0.0365
TMUS,"T-MOBILE US, INC.",Communication Services,2026-05-20,-0.0946
TTD,"THE TRADE DESK, INC.",Communication Services,2026-05-20,-0.0736
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2026-05-20,0.1981
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2026-05-20,-0.0474
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-05-20,-0.0015
ABNB,"AIRBNB, INC.",Consumer Discretionary,2026-05-20,0.0734
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-05-20,0.2724
