Ticker,Ticker_name,Exposure,Date,wtd_pct_change
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-07-31,-0.0233
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-07-31,0.0032
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-07-31,-0.0009
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-07-31,0.0002
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-07-31,0.0018
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-07-31,0.0013
TIP,ISHARES:TIPS BD ETF,Bonds,2026-07-31,0.0012
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-07-31,-0.012
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-07-31,0.1757
CMCSA,COMCAST ,Communication Services,2026-07-31,0.0744
DIS,THE WALT DISNEY COMPANY,Communication Services,2026-07-31,0.0141
EA,ELECTRONIC ARTS INC.,Communication Services,2026-07-31,0.0038
FOXA,FOX ,Communication Services,2026-07-31,0.0528
GOOGL,ALPHABET INC.,Communication Services,2026-07-31,0.1138
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2026-07-31,-0.0175
META,"META PLATFORMS, INC.",Communication Services,2026-07-31,-0.0647
NFLX,"NETFLIX, INC.",Communication Services,2026-07-31,0.0231
NWSA,NEWS CORP.,Communication Services,2026-07-31,0.0299
OMC,OMNICOM GROUP INC.,Communication Services,2026-07-31,-0.0121
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-07-31,-0.0305
SATS,ECHOSTAR CORPORATION,Communication Services,2026-07-31,-0.0431
T,AT&T INC.,Communication Services,2026-07-31,-0.0365
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-07-31,0.0066
TMUS,"T-MOBILE US, INC.",Communication Services,2026-07-31,-0.041
TTD,"THE TRADE DESK, INC.",Communication Services,2026-07-31,0.0434
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2026-07-31,0.0487
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2026-07-31,0.0093
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-07-31,0.0206
ABNB,"AIRBNB, INC.",Consumer Discretionary,2026-07-31,0.0738
AMZN,"AMAZON.COM, INC.",Consumer Discretionary,2026-07-31,0.17
APTV,APTIV PLC,Consumer Discretionary,2026-07-31,-0.0014
AZO,"AUTOZONE, INC.",Consumer Discretionary,2026-07-31,0.0199
BBY,"BEST BUY CO., INC.",Consumer Discretionary,2026-07-31,0.0097
BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,2026-07-31,0.087
CCL,CARNIVAL CORP,Consumer Discretionary,2026-07-31,0.0562
CMG,"CHIPOTLE MEXICAN GRILL, INC.",Consumer Discretionary,2026-07-31,0.1708
CVNA,CARVANA CO.,Consumer Discretionary,2026-07-31,0.0314
DASH,"DOORDASH, INC.",Consumer Discretionary,2026-07-31,0.1345
DECK,DECKERS OUTDOOR ,Consumer Discretionary,2026-07-31,0.0087
DHI,"D.R. HORTON, INC.",Consumer Discretionary,2026-07-31,-0.0252
DPZ,"DOMINO'S PIZZA, INC.",Consumer Discretionary,2026-07-31,0.0435
DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,2026-07-31,0.037
EBAY,EBAY INC.,Consumer Discretionary,2026-07-31,0.0422
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2026-07-31,0.1339
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-07-31,0.0216
GM,GENERAL MOTORS COMPANY,Consumer Discretionary,2026-07-31,0.0753
GPC,GENUINE PARTS COMPANY,Consumer Discretionary,2026-07-31,0.0013
GRMN,GARMIN LTD,Consumer Discretionary,2026-07-31,0.2088
HAS,"HASBRO, INC.",Consumer Discretionary,2026-07-31,0.058
HD,"THE HOME DEPOT, INC.",Consumer Discretionary,2026-07-31,-0.0031
HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,2026-07-31,-0.0138
LEN,LENNAR ,Consumer Discretionary,2026-07-31,-0.0271
