Date,Ticker,Ticker_name,Exposure,Category,model_score
2026-05-26,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,29.0
2026-05-26,AAPL,APPLE INC.,Information Technology,Information Technology,-22.0
2026-05-26,ABBV,ABBVIE INC.,Health Care,Health Care,-24.0
2026-05-26,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,14.0
2026-05-26,ABT,ABBOTT LABORATORIES,Health Care,Health Care,-3.0
2026-05-26,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,-32.0
2026-05-26,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,-30.0
2026-05-26,ADBE,ADOBE INC.,Information Technology,Information Technology,-20.0
2026-05-26,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,25.0
2026-05-26,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,18.0
2026-05-26,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,-60.0
2026-05-26,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,-65.0
2026-05-26,AEE,AMEREN ,Utilities,Utilities,29.0
2026-05-26,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,37.0
2026-05-26,AES,THE AES ,Utilities,Utilities,-22.0
2026-05-26,AFL,AFLAC INC.,Financials,Financials,-15.0
2026-05-26,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,-58.0
2026-05-26,AIZ,"ASSURANT, INC.",Financials,Financials,-24.0
2026-05-26,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,3.0
2026-05-26,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-60.0
2026-05-26,ALB,ALBEMARLE ,Materials,Materials,30.0
2026-05-26,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,38.0
2026-05-26,ALL,THE ALLSTATE ,Financials,Financials,13.0
2026-05-26,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,6.0
2026-05-26,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,-2.0
2026-05-26,AMCR,AMCOR PLC,Materials,Materials,8.0
2026-05-26,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,-31.0
2026-05-26,AME,"AMETEK, INC.",Industrials,Industrials,31.0
2026-05-26,AMGN,AMGEN INC.,Health Care,Health Care,-22.0
