Ticker,Ticker_name,Category,Date,model_score,previous_model_score,model_score_daily_change
SCHP,SCHWAB STR:US TIPS,Bonds,2026-06-04,61.0,34.0,27.0
HYD,VANECK:HIGH YIELD MUNI,Bonds,2026-06-04,49.0,20.0,29.0
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-06-04,49.0,20.0,29.0
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-06-04,49.0,21.0,28.0
TIP,ISHARES:TIPS BD ETF,Bonds,2026-06-04,46.0,46.0,0.0
MUB,ISHARES:NATL MUNI BOND,Bonds,2026-06-04,44.0,44.0,0.0
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-06-04,43.0,62.0,-19.0
PFF,ISHARES:PREF AND INC SEC,Bonds,2026-06-04,31.0,51.0,-20.0
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-06-04,27.0,35.0,-8.0
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-06-04,21.0,21.0,0.0
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-06-04,8.0,35.0,-27.0
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-06-04,4.0,36.0,-32.0
JNK,SPDR BBG HIGH YIELD BD,Bonds,2026-06-04,-3.0,29.0,-32.0
DBB,INVESCO DB MS BMTL,Commodities,2026-06-04,26.0,35.0,-9.0
SOYB,TEUCRIUM:SOYBEAN,Commodities,2026-06-04,18.0,38.0,-20.0
URA,GLBL X URANIUM ETF,Commodities,2026-06-04,17.0,46.0,-29.0
TAGS,TEUCRIUM:AGRICULTURAL,Commodities,2026-06-04,15.0,33.0,-18.0
GLD,SPDR GOLD,Commodities,2026-06-04,9.0,37.0,-28.0
CPER,UNITED STATES COPPER IDX,Commodities,2026-06-04,8.0,-1.0,9.0
CANE,TEUCRIUM:SUGAR,Commodities,2026-06-04,4.0,12.0,-8.0
WEAT,TEUCRIUM:WHEAT,Commodities,2026-06-04,3.0,3.0,0.0
USO,UNITED STATES OIL FUND,Commodities,2026-06-04,-1.0,34.0,-35.0
COMT,ISHARES:GSCI COMM DYN RS,Commodities,2026-06-04,-1.0,6.0,-7.0
GDX,VANECK:GOLD MINERS,Commodities,2026-06-04,-2.0,-5.0,3.0
SILJ,ETFMG PRIME JR SILVR MNR,Commodities,2026-06-04,-2.0,-12.0,10.0
GDXJ,VANECK:JR GOLD MINERS,Commodities,2026-06-04,-5.0,-5.0,0.0
CORN,TEUCRIUM:CORN,Commodities,2026-06-04,-9.0,-9.0,0.0
DBC,INVESCO DB CM IDX,Commodities,2026-06-04,-18.0,6.0,-24.0
DBA,INVESCO DB MS AGRI,Commodities,2026-06-04,-26.0,-26.0,0.0
SLV,ISHARES:SILVER TRUST,Commodities,2026-06-04,-28.0,-28.0,0.0
UNG,UNITED STATES NAT GAS,Commodities,2026-06-04,-29.0,-61.0,32.0
PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,2026-06-04,-61.0,-6.0,-55.0
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-06-04,34.0,41.0,-7.0
VZ,VERIZON COMMUNICATIONS INC.,Communication Services,2026-06-04,32.0,5.0,27.0
EA,ELECTRONIC ARTS INC.,Communication Services,2026-06-04,28.0,38.0,-10.0
CHTR,"CHARTER COMMUNICATIONS, INC.",Communication Services,2026-06-04,17.0,17.0,0.0
TTWO,"TAKE-TWO INTERACTIVE SOFTWARE, INC.",Communication Services,2026-06-04,15.0,15.0,0.0
OMC,OMNICOM GROUP INC.,Communication Services,2026-06-04,15.0,20.0,-5.0
T,AT&T INC.,Communication Services,2026-06-04,13.0,17.0,-4.0
LYV,"LIVE NATION ENTERTAINMENT, INC.",Communication Services,2026-06-04,9.0,34.0,-25.0
SATS,ECHOSTAR CORPORATION,Communication Services,2026-06-04,8.0,54.0,-46.0
NFLX,"NETFLIX, INC.",Communication Services,2026-06-04,6.0,6.0,0.0
DIS,THE WALT DISNEY COMPANY,Communication Services,2026-06-04,-13.0,-22.0,9.0
FOXA,FOX ,Communication Services,2026-06-04,-15.0,-25.0,10.0
TMUS,"T-MOBILE US, INC.",Communication Services,2026-06-04,-16.0,-16.0,0.0
PSKY,PARAMOUNT SKYDANCE ,Communication Services,2026-06-04,-18.0,26.0,-44.0
CMCSA,COMCAST ,Communication Services,2026-06-04,-18.0,-18.0,0.0
META,"META PLATFORMS, INC.",Communication Services,2026-06-04,-21.0,-21.0,0.0
TKO,"TKO GROUP HOLDINGS, INC.",Communication Services,2026-06-04,-31.0,47.0,-78.0
TTD,"THE TRADE DESK, INC.",Communication Services,2026-06-04,-32.0,-64.0,32.0
NWSA,NEWS CORP.,Communication Services,2026-06-04,-40.0,-18.0,-22.0
GOOGL,ALPHABET INC.,Communication Services,2026-06-04,-46.0,-18.0,-28.0
LVS,LAS VEGAS SANDS CORP.,Consumer Discretionary,2026-06-04,75.0,62.0,13.0
LULU,LULULEMON ATHLETICA INC.,Consumer Discretionary,2026-06-04,62.0,62.0,0.0
LOW,"LOWE'S COMPANIES, INC.",Consumer Discretionary,2026-06-04,57.0,36.0,21.0
ORLY,"O'REILLY AUTOMOTIVE, INC.",Consumer Discretionary,2026-06-04,47.0,19.0,28.0
EXPE,"EXPEDIA GROUP, INC.",Consumer Discretionary,2026-06-04,46.0,46.0,0.0
TSLA,"TESLA, INC.",Consumer Discretionary,2026-06-04,42.0,42.0,0.0
MAR,"MARRIOTT INTERNATIONAL, INC.",Consumer Discretionary,2026-06-04,41.0,33.0,8.0
GPC,GENUINE PARTS COMPANY,Consumer Discretionary,2026-06-04,39.0,39.0,0.0
ROST,"ROSS STORES, INC.",Consumer Discretionary,2026-06-04,39.0,39.0,0.0
WYNN,"WYNN RESORTS, LIMITED",Consumer Discretionary,2026-06-04,38.0,38.0,0.0
DRI,"DARDEN RESTAURANTS, INC.",Consumer Discretionary,2026-06-04,37.0,34.0,3.0
ULTA,"ULTA BEAUTY, INC.",Consumer Discretionary,2026-06-04,36.0,36.0,0.0
HAS,"HASBRO, INC.",Consumer Discretionary,2026-06-04,35.0,46.0,-11.0
MCD,MCDONALD'S ,Consumer Discretionary,2026-06-04,34.0,31.0,3.0
MGM,MGM RESORTS INTERNATIONAL,Consumer Discretionary,2026-06-04,31.0,29.0,2.0
POOL,POOL ,Consumer Discretionary,2026-06-04,29.0,29.0,0.0
DHI,"D.R. HORTON, INC.",Consumer Discretionary,2026-06-04,29.0,62.0,-33.0
NKE,"NIKE, INC.",Consumer Discretionary,2026-06-04,29.0,9.0,20.0
YUM,"YUM! BRANDS, INC.",Consumer Discretionary,2026-06-04,28.0,75.0,-47.0
RL,RALPH LAUREN ,Consumer Discretionary,2026-06-04,27.0,55.0,-28.0
GM,GENERAL MOTORS COMPANY,Consumer Discretionary,2026-06-04,27.0,27.0,0.0
ABNB,"AIRBNB, INC.",Consumer Discretionary,2026-06-04,23.0,23.0,0.0
