Date,Ticker,Ticker_name,Exposure,Category,model_score_mtd_change,current_model_score,previous_model_score
2026-07-16,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-35.0,-41.0,-6.0
2026-07-16,AAPL,APPLE INC.,Information Technology,Information Technology,-119.0,-36.0,83.0
2026-07-16,ABBV,ABBVIE INC.,Health Care,Health Care,19.0,-31.0,-50.0
2026-07-16,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,-28.0,-31.0,-3.0
2026-07-16,ABT,ABBOTT LABORATORIES,Health Care,Health Care,29.0,-14.0,-43.0
2026-07-16,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,-32.0,-75.0,-43.0
2026-07-16,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,6.0,6.0,-0.0
2026-07-16,ADBE,ADOBE INC.,Information Technology,Information Technology,-53.0,-53.0,0.0
2026-07-16,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,25.0,63.0,38.0
2026-07-16,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,-26.0,25.0,51.0
2026-07-16,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,-23.0,-43.0,-20.0
2026-07-16,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,-32.0,-7.0,25.0
2026-07-16,AEE,AMEREN ,Utilities,Utilities,29.0,-13.0,-42.0
2026-07-16,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,59.0,6.0,-53.0
2026-07-16,AES,THE AES ,Utilities,Utilities,-28.0,-12.0,16.0
2026-07-16,AFL,AFLAC INC.,Financials,Financials,-63.0,-61.0,2.0
2026-07-16,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,-65.0,-79.0,-14.0
2026-07-16,AIZ,"ASSURANT, INC.",Financials,Financials,33.0,-10.0,-43.0
2026-07-16,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,-10.0,-70.0,-60.0
2026-07-16,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,24.0,54.0,30.0
2026-07-16,ALB,ALBEMARLE ,Materials,Materials,-1.0,11.0,12.0
2026-07-16,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,42.0,9.0,-33.0
2026-07-16,ALL,THE ALLSTATE ,Financials,Financials,-2.0,-62.0,-60.0
2026-07-16,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,29.0,-28.0,-57.0
2026-07-16,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,57.0,37.0,-20.0
2026-07-16,AMCR,AMCOR PLC,Materials,Materials,-32.0,-68.0,-36.0
2026-07-16,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,15.0,18.0,3.0
2026-07-16,AME,"AMETEK, INC.",Industrials,Industrials,43.0,22.0,-21.0
2026-07-16,AMGN,AMGEN INC.,Health Care,Health Care,41.0,-40.0,-81.0
2026-07-16,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,10.0,-2.0,-12.0
2026-07-16,AMT,AMERICAN TOWER ,Real Estate,Real Estate,3.0,-23.0,-26.0
2026-07-16,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,-60.0,-5.0,55.0
2026-07-16,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,-20.0,-9.0,11.0
2026-07-16,AON,AON PLC,Financials,Financials,-3.0,-60.0,-57.0
2026-07-16,AOS,A. O. SMITH ,Industrials,Industrials,15.0,-28.0,-43.0
2026-07-16,APA,APA ,Energy,Energy,7.0,27.0,20.0
2026-07-16,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,-24.0,-34.0,-10.0
2026-07-16,APH,AMPHENOL ,Information Technology,Information Technology,63.0,56.0,-7.0
2026-07-16,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,-72.0,-17.0,55.0
2026-07-16,APP,APPLOVIN CORP,Information Technology,Information Technology,-44.0,-1.0,43.0
2026-07-16,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,15.0,58.0,43.0
2026-07-16,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,-34.0,-37.0,-3.0
2026-07-16,ARES,ARES MANAGEMENT CORP,Financials,Financials,-104.0,-37.0,67.0
2026-07-16,ASC,ARDMORE SHIPPING ,,MR Discretion,3.0,41.0,38.0
2026-07-16,ATO,ATMOS ENERGY ,Utilities,Utilities,9.0,-7.0,-16.0
2026-07-16,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,-32.0,-79.0,-47.0
2026-07-16,AVGO,BROADCOM INC.,Information Technology,Information Technology,-87.0,-44.0,43.0
2026-07-16,AVY,AVERY DENNISON ,Materials,Materials,-7.0,-70.0,-63.0
2026-07-16,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,-8.0,-68.0,-60.0
2026-07-16,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,27.0,-14.0,-41.0
2026-07-16,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,9.0,-29.0,-38.0
2026-07-16,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,-29.0,-43.0,-14.0
2026-07-16,BA,THE BOEING COMPANY,Industrials,Industrials,52.0,51.0,-1.0
2026-07-16,BAC,BANK OF AMERICA ,Financials,Financials,-10.0,-74.0,-64.0
2026-07-16,BALL,BALL ,Materials,Materials,-19.0,-28.0,-9.0
2026-07-16,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,-11.0,-46.0,-35.0
2026-07-16,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,11.0,-26.0,-37.0
2026-07-16,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,13.0,-35.0,-48.0
2026-07-16,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,31.0,34.0,3.0
2026-07-16,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,-14.0,-33.0,-19.0
2026-07-16,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,8.0,22.0,14.0
2026-07-16,BIIB,BIOGEN INC.,Health Care,Health Care,-8.0,-7.0,1.0
2026-07-16,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,-76.0,-70.0,6.0
2026-07-16,BKR,BAKER HUGHES COMPANY,Energy,Energy,58.0,58.0,0.0
2026-07-16,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,-12.0,-39.0,-27.0
2026-07-16,BLK,"BLACKROCK, INC.",Financials,Financials,-80.0,-0.0,80.0
2026-07-16,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,-46.0,-24.0,22.0
2026-07-16,BNY,THE BANK OF NEW YORK MELLON ,Financials,Financials,-48.0,5.0,53.0
2026-07-16,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,-8.0,-2.0,6.0
2026-07-16,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,45.0,10.0,-35.0
2026-07-16,BRO,"BROWN & BROWN, INC.",Financials,Financials,-100.0,-102.0,-2.0
2026-07-16,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,1.0,-32.0,-33.0
2026-07-16,BTC=F,BITCOIN FUTURES,,Futures,22.0,-29.0,-51.0
2026-07-16,BTI,BRITISH AMERICAN TOBACCO P.L.C.,,MR Discretion,-11.0,23.0,34.0
2026-07-16,BTU,PEABODY ENERGY ,,MR Discretion,51.0,49.0,-2.0
2026-07-16,BX,BLACKSTONE INC,Financials,Financials,-15.0,-37.0,-22.0
2026-07-16,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,-10.0,-57.0,-47.0
2026-07-16,C,CITIGROUP INC.,Financials,Financials,42.0,-10.0,-52.0
2026-07-16,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,61.0,3.0,-58.0
2026-07-16,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,35.0,-2.0,-37.0
2026-07-16,CALM,"CAL-MAINE FOODS, INC.",,MR Discretion,52.0,-35.0,-87.0
2026-07-16,CANE,TEUCRIUM:SUGAR,,Commodities,30.0,36.0,6.0
2026-07-16,CARR,CARRIER GLOBAL ,Industrials,Industrials,38.0,5.0,-33.0
2026-07-16,CASY,"CASEY'S GENERAL STORES, INC.",Consumer Staples,Consumer Staples,54.0,54.0,0.0
2026-07-16,CAT,CATERPILLAR INC.,Industrials,Industrials,-38.0,-32.0,6.0
2026-07-16,CB,CHUBB LTD,Financials,Financials,26.0,-34.0,-60.0
2026-07-16,CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,Financials,-31.0,-31.0,-0.0
2026-07-16,CBRE,"CBRE GROUP, INC.",Real Estate,Real Estate,12.0,-19.0,-31.0
2026-07-16,CCI,CROWN CASTLE INC.,Real Estate,Real Estate,24.0,18.0,-6.0
2026-07-16,CCJ,CAMECO ,,MR Discretion,-64.0,-20.0,44.0
2026-07-16,CCL,CARNIVAL CORP,Consumer Discretionary,Consumer Discretionary,23.0,17.0,-6.0
