Date,Ticker,Ticker_name,Exposure,Category,model_score_qtd_change,current_model_score,previous_model_score
2026-05-28,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-72.0,-32.0,40.0
2026-05-28,AAPL,APPLE INC.,Information Technology,Information Technology,-77.0,-37.0,40.0
2026-05-28,ABBV,ABBVIE INC.,Health Care,Health Care,-70.0,-23.0,47.0
2026-05-28,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,19.0,14.0,-5.0
2026-05-28,ABT,ABBOTT LABORATORIES,Health Care,Health Care,8.0,-3.0,-11.0
2026-05-28,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,38.0,34.0,-4.0
2026-05-28,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,28.0,23.0,-5.0
2026-05-28,ADBE,ADOBE INC.,Information Technology,Information Technology,22.0,-10.0,-32.0
2026-05-28,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,-48.0,6.0,54.0
2026-05-28,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,-8.0,9.0,17.0
2026-05-28,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,-49.0,-43.0,6.0
2026-05-28,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,-61.0,-78.0,-17.0
2026-05-28,AEE,AMEREN ,Utilities,Utilities,11.0,70.0,59.0
2026-05-28,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,0.0,34.0,34.0
2026-05-28,AES,THE AES ,Utilities,Utilities,-47.0,-12.0,35.0
2026-05-28,AFL,AFLAC INC.,Financials,Financials,-25.0,18.0,43.0
2026-05-28,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,-25.0,-13.0,12.0
2026-05-28,AIZ,"ASSURANT, INC.",Financials,Financials,-67.0,-58.0,9.0
2026-05-28,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,8.0,3.0,-5.0
2026-05-28,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-44.0,-71.0,-27.0
2026-05-28,ALB,ALBEMARLE ,Materials,Materials,-28.0,23.0,51.0
2026-05-28,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,-14.0,33.0,47.0
2026-05-28,ALL,THE ALLSTATE ,Financials,Financials,-12.0,-8.0,4.0
2026-05-28,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,-18.0,6.0,24.0
2026-05-28,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,-16.0,-2.0,14.0
2026-05-28,AMCR,AMCOR PLC,Materials,Materials,-65.0,-53.0,12.0
2026-05-28,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,-9.0,-35.0,-26.0
2026-05-28,AME,"AMETEK, INC.",Industrials,Industrials,-38.0,6.0,44.0
2026-05-28,AMGN,AMGEN INC.,Health Care,Health Care,-4.0,-22.0,-18.0
2026-05-28,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,-52.0,-12.0,40.0
2026-05-28,AMT,AMERICAN TOWER ,Real Estate,Real Estate,-69.0,-40.0,29.0
2026-05-28,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,-13.0,-27.0,-14.0
2026-05-28,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,106.0,72.0,-34.0
2026-05-28,AON,AON PLC,Financials,Financials,-41.0,-5.0,36.0
2026-05-28,AOS,A. O. SMITH ,Industrials,Industrials,10.0,10.0,0.0
2026-05-28,APA,APA ,Energy,Energy,36.0,-1.0,-37.0
2026-05-28,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,25.0,11.0,-14.0
2026-05-28,APH,AMPHENOL ,Information Technology,Information Technology,-28.0,-19.0,9.0
2026-05-28,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,23.0,-20.0,-43.0
2026-05-28,APP,APPLOVIN CORP,Information Technology,Information Technology,-27.0,-24.0,3.0
2026-05-28,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,-62.0,-36.0,26.0
2026-05-28,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,-89.0,-53.0,36.0
2026-05-28,ARES,ARES MANAGEMENT CORP,Financials,Financials,-48.0,-53.0,-5.0
2026-05-28,ASC,ARDMORE SHIPPING ,,MR Discretion,-44.0,11.0,55.0
2026-05-28,ATO,ATMOS ENERGY ,Utilities,Utilities,-71.0,-0.0,71.0
2026-05-28,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,-7.0,-27.0,-20.0
2026-05-28,AVGO,BROADCOM INC.,Information Technology,Information Technology,-3.0,-11.0,-8.0
2026-05-28,AVY,AVERY DENNISON ,Materials,Materials,-111.0,-26.0,85.0
2026-05-28,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,-6.0,27.0,33.0
2026-05-28,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,9.0,-53.0,-62.0
2026-05-28,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,-26.0,-11.0,15.0
2026-05-28,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,-27.0,-12.0,15.0
2026-05-28,BA,THE BOEING COMPANY,Industrials,Industrials,-31.0,33.0,64.0
2026-05-28,BAC,BANK OF AMERICA ,Financials,Financials,-20.0,20.0,40.0
2026-05-28,BALL,BALL ,Materials,Materials,-27.0,26.0,53.0
2026-05-28,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,-75.0,-46.0,29.0
2026-05-28,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,-23.0,-17.0,6.0
2026-05-28,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,-19.0,8.0,27.0
2026-05-28,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,-56.0,-20.0,36.0
2026-05-28,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,-31.0,-43.0,-12.0
2026-05-28,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,19.0,52.0,33.0
2026-05-28,BIIB,BIOGEN INC.,Health Care,Health Care,17.0,33.0,16.0
2026-05-28,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,27.0,-5.0,-32.0
2026-05-28,BKR,BAKER HUGHES COMPANY,Energy,Energy,-36.0,23.0,59.0
2026-05-28,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,-42.0,-7.0,35.0
2026-05-28,BLK,"BLACKROCK, INC.",Financials,Financials,-30.0,-9.0,21.0
2026-05-28,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,-10.0,37.0,47.0
2026-05-28,BNY,THE BANK OF NEW YORK MELLON ,Financials,Financials,-58.0,9.0,67.0
2026-05-28,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,-27.0,-21.0,6.0
2026-05-28,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,-20.0,-23.0,-3.0
2026-05-28,BRO,"BROWN & BROWN, INC.",Financials,Financials,-19.0,-5.0,14.0
2026-05-28,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,4.0,-27.0,-31.0
2026-05-28,BTC=F,BITCOIN FUTURES,,Futures,26.0,-3.0,-29.0
2026-05-28,BTI,BRITISH AMERICAN TOBACCO P.L.C.,,MR Discretion,-65.0,-36.0,29.0
2026-05-28,BTU,PEABODY ENERGY ,,MR Discretion,11.0,3.0,-8.0
2026-05-28,BX,BLACKSTONE INC,Financials,Financials,33.0,12.0,-21.0
2026-05-28,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,-117.0,-59.0,58.0
2026-05-28,C,CITIGROUP INC.,Financials,Financials,49.0,54.0,5.0
2026-05-28,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,-9.0,-9.0,0.0
2026-05-28,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,-27.0,8.0,35.0
2026-05-28,CALM,"CAL-MAINE FOODS, INC.",,MR Discretion,-94.0,-42.0,52.0
2026-05-28,CANE,TEUCRIUM:SUGAR,,Commodities,51.0,16.0,-35.0
2026-05-28,CARR,CARRIER GLOBAL ,Industrials,Industrials,-21.0,17.0,38.0
2026-05-28,CASY,"CASEY'S GENERAL STORES, INC.",Consumer Staples,Consumer Staples,4.0,15.0,11.0
2026-05-28,CAT,CATERPILLAR INC.,Industrials,Industrials,11.0,26.0,15.0
2026-05-28,CB,CHUBB LTD,Financials,Financials,0.0,9.0,9.0
2026-05-28,CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,Financials,-45.0,-29.0,16.0
2026-05-28,CBRE,"CBRE GROUP, INC.",Real Estate,Real Estate,-22.0,18.0,40.0
