Date,Ticker,Ticker_name,Exposure,Category,model_score_wtd_change,current_model_score,previous_model_score
2026-05-19,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-9.0,47.0,56.0
2026-05-19,AAPL,APPLE INC.,Information Technology,Information Technology,37.0,-22.0,-59.0
2026-05-19,ABBV,ABBVIE INC.,Health Care,Health Care,-8.0,-30.0,-22.0
2026-05-19,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,-21.0,-12.0,9.0
2026-05-19,ABT,ABBOTT LABORATORIES,Health Care,Health Care,-2.0,-22.0,-20.0
2026-05-19,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,-22.0,-11.0,11.0
2026-05-19,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,2.0,33.0,31.0
2026-05-19,ADBE,ADOBE INC.,Information Technology,Information Technology,-16.0,-2.0,14.0
2026-05-19,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,-26.0,-1.0,25.0
2026-05-19,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,-27.0,-32.0,-5.0
2026-05-19,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,0.0,-24.0,-24.0
2026-05-19,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,-56.0,-27.0,29.0
2026-05-19,AEE,AMEREN ,Utilities,Utilities,24.0,0.0,-24.0
2026-05-19,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,1.0,0.0,-1.0
2026-05-19,AES,THE AES ,Utilities,Utilities,39.0,15.0,-24.0
2026-05-19,AFL,AFLAC INC.,Financials,Financials,26.0,23.0,-3.0
2026-05-19,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,-6.0,-28.0,-22.0
2026-05-19,AIZ,"ASSURANT, INC.",Financials,Financials,-17.0,-60.0,-43.0
2026-05-19,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,-55.0,-5.0,50.0
2026-05-19,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,14.0,-37.0,-51.0
2026-05-19,ALB,ALBEMARLE ,Materials,Materials,-35.0,4.0,39.0
2026-05-19,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,0.0,4.0,4.0
2026-05-19,ALL,THE ALLSTATE ,Financials,Financials,4.0,-19.0,-23.0
2026-05-19,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,31.0,37.0,6.0
2026-05-19,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,51.0,33.0,-18.0
2026-05-19,AMCR,AMCOR PLC,Materials,Materials,0.0,3.0,3.0
2026-05-19,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,-25.0,-5.0,20.0
2026-05-19,AME,"AMETEK, INC.",Industrials,Industrials,22.0,23.0,1.0
2026-05-19,AMGN,AMGEN INC.,Health Care,Health Care,25.0,18.0,-7.0
2026-05-19,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,-12.0,-31.0,-19.0
2026-05-19,AMT,AMERICAN TOWER ,Real Estate,Real Estate,-40.0,-17.0,23.0
2026-05-19,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,8.0,5.0,-3.0
2026-05-19,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,42.0,16.0,-26.0
2026-05-19,AON,AON PLC,Financials,Financials,-41.0,-1.0,40.0
2026-05-19,AOS,A. O. SMITH ,Industrials,Industrials,0.0,-24.0,-24.0
2026-05-19,APA,APA ,Energy,Energy,-16.0,-5.0,11.0
2026-05-19,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,0.0,24.0,24.0
2026-05-19,APH,AMPHENOL ,Information Technology,Information Technology,-49.0,-13.0,36.0
2026-05-19,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,9.0,7.0,-2.0
2026-05-19,APP,APPLOVIN CORP,Information Technology,Information Technology,17.0,29.0,12.0
2026-05-19,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,-20.0,13.0,33.0
2026-05-19,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,76.0,6.0,-70.0
2026-05-19,ARES,ARES MANAGEMENT CORP,Financials,Financials,0.0,7.0,7.0
2026-05-19,ASC,ARDMORE SHIPPING ,,MR Discretion,3.0,-37.0,-40.0
2026-05-19,ATO,ATMOS ENERGY ,Utilities,Utilities,38.0,0.0,-38.0
2026-05-19,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,-40.0,-81.0,-41.0
2026-05-19,AVGO,BROADCOM INC.,Information Technology,Information Technology,53.0,44.0,-9.0
2026-05-19,AVY,AVERY DENNISON ,Materials,Materials,0.0,-11.0,-11.0
2026-05-19,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,-10.0,46.0,56.0
2026-05-19,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,-16.0,-21.0,-5.0
2026-05-19,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,0.0,4.0,4.0
2026-05-19,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,-39.0,17.0,56.0
2026-05-19,BA,THE BOEING COMPANY,Industrials,Industrials,0.0,19.0,19.0
2026-05-19,BAC,BANK OF AMERICA ,Financials,Financials,37.0,46.0,9.0
2026-05-19,BALL,BALL ,Materials,Materials,-22.0,-14.0,8.0
2026-05-19,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,71.0,33.0,-38.0
2026-05-19,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,30.0,26.0,-4.0
2026-05-19,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,0.0,18.0,18.0
2026-05-19,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,-21.0,-41.0,-20.0
2026-05-19,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,0.0,-14.0,-14.0
2026-05-19,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,46.0,44.0,-2.0
2026-05-19,BIIB,BIOGEN INC.,Health Care,Health Care,20.0,15.0,-5.0
2026-05-19,BK,THE BANK OF NEW YORK MELLON ,Financials,Financials,-25.0,39.0,64.0
2026-05-19,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,19.0,31.0,12.0
2026-05-19,BKR,BAKER HUGHES COMPANY,Energy,Energy,0.0,-16.0,-16.0
2026-05-19,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,-38.0,-13.0,25.0
2026-05-19,BLK,"BLACKROCK, INC.",Financials,Financials,11.0,-16.0,-27.0
