Ticker,Date,Zscore,prem_disc
A,2026-08-11,-1.16,0.3487
A,2026-07-13,-1.1,0.1705
AAPL,2026-08-11,0.54,-0.3684
AAPL,2026-07-13,0.63,-0.2024
ABBV,2026-08-11,-0.91,-0.0245
ABBV,2026-07-13,0.82,-0.1419
ABNB,2026-08-11,2.36,-0.5319
ABNB,2026-07-13,1.15,0.1297
ABT,2026-08-11,-0.11,-0.3749
ABT,2026-07-13,-0.2,0.3102
ACGL,2026-08-11,-0.35,-0.1902
ACGL,2026-07-13,-0.98,-0.1197
ACN,2026-08-11,-0.64,-0.113
ACN,2026-07-13,0.74,-0.4261
ADBE,2026-08-11,1.14,-0.0941
ADBE,2026-07-13,-1.1,-0.0948
ADI,2026-08-11,-0.7,0.3229
ADI,2026-07-13,-0.19,0.0159
ADM,2026-08-11,1.72,-0.0617
ADM,2026-07-13,-0.5,0.4225
ADP,2026-08-11,-1.63,-0.1324
ADP,2026-07-13,1.95,-0.1179
ADSK,2026-08-11,0.89,0.1026
ADSK,2026-07-13,-0.87,0.0028
AEE,2026-08-11,-1.29,0.1494
AEE,2026-07-13,0.76,-0.1333
AEP,2026-08-11,-1.17,0.022
AEP,2026-07-13,0.02,0.2449
AES,2026-08-11,0.58,0.1631
AES,2026-07-13,-0.02,3.494
AFL,2026-08-11,0.97,-0.0115
AFL,2026-07-13,-1.97,0.2813
AIG,2026-08-11,-1.21,-0.0527
AIG,2026-07-13,0.34,0.0945
AIZ,2026-08-11,1.96,-0.4289
AIZ,2026-07-13,-2.25,0.6654
AJG,2026-08-11,-1.23,-0.1859
AJG,2026-07-13,1.05,-0.0048
AKAM,2026-08-11,0.17,-0.1735
AKAM,2026-07-13,0.77,0.412
ALB,2026-08-11,0.78,0.2135
ALB,2026-07-13,-0.49,0.0859
ALGN,2026-08-11,-1.31,0.1056
ALGN,2026-07-13,0.52,0.0156
ALL,2026-08-11,1.95,-0.322
ALL,2026-07-13,-2.41,0.0644
ALLE,2026-08-11,0.67,-0.4277
ALLE,2026-07-13,0.61,0.1593
AMAT,2026-08-11,-0.94,-0.1931
AMAT,2026-07-13,0.94,-0.1432
AMCR,2026-08-11,-1.25,-0.0586
AMCR,2026-07-13,0.89,-0.1214
AMD,2026-08-11,0.57,-0.3107
AMD,2026-07-13,-0.37,-0.011
AME,2026-08-11,0.19,0.1326
AME,2026-07-13,-0.41,0.3188
AMGN,2026-08-11,1.35,-0.0408
AMGN,2026-07-13,-1.9,0.1694
AMP,2026-08-11,-1.84,0.4063
AMP,2026-07-13,1.65,-0.0178
AMT,2026-08-11,0.03,-0.2527
AMT,2026-07-13,-0.25,-0.0989
AMZN,2026-08-11,1.29,-0.541
AMZN,2026-07-13,-0.21,0.2055
ANET,2026-08-11,-1.61,-0.0264
ANET,2026-07-13,1.51,0.1093
AON,2026-08-11,-1.91,-0.133
AON,2026-07-13,1.17,-0.0996
AOS,2026-08-11,0.82,-0.141
AOS,2026-07-13,0.4,0.0683
APA,2026-08-11,2.26,-0.2087
APA,2026-07-13,0.55,0.1609
APD,2026-08-11,-1.29,0.2412
APD,2026-07-13,1.11,-0.266
APH,2026-08-11,-0.83,-0.0343
APH,2026-07-13,-1.75,0.3325
APO,2026-08-11,2.05,-0.1701
APO,2026-07-13,0.27,0.1357
APP,2026-08-11,0.69,-0.3134
APP,2026-07-13,2.0,0.1364
APTV,2026-08-11,1.67,-0.3761
APTV,2026-07-13,-1.71,0.4398
ARE,2026-08-11,1.48,-0.3157
ARE,2026-07-13,-2.15,0.0139
