Date,Ticker,weekly_volume,weekly_volume_avg,weekly_volume_hi,weekly_volume_lo
2025-05-05,A,9.0,9.8,12.5,7.0
2025-05-12,A,12.0,9.8,12.5,7.0
2025-05-19,A,11.3,9.8,12.5,7.0
2025-05-27,A,13.4,9.8,12.5,7.0
2025-06-02,A,9.4,9.8,12.5,7.0
2025-06-09,A,11.4,9.8,12.5,7.0
2025-06-16,A,7.6,9.8,12.5,7.0
2025-06-23,A,8.3,9.8,12.5,7.0
2025-06-30,A,6.0,9.8,12.5,7.0
2025-07-07,A,8.8,9.8,12.5,7.0
2025-07-14,A,11.3,9.8,12.5,7.0
2025-07-21,A,9.3,9.8,12.5,7.0
2025-07-28,A,8.1,9.8,12.5,7.0
2025-08-04,A,6.0,9.8,12.5,7.0
2025-08-11,A,5.2,9.8,12.5,7.0
2025-08-18,A,5.8,9.8,12.5,7.0
2025-08-25,A,10.8,9.8,12.5,7.0
2025-09-02,A,9.3,9.8,12.5,7.0
2025-09-08,A,8.0,9.8,12.5,7.0
2025-09-15,A,10.1,9.8,12.5,7.0
2025-09-22,A,6.1,9.8,12.5,7.0
2025-09-29,A,12.8,9.8,12.5,7.0
2025-10-06,A,7.8,9.8,12.5,7.0
2025-10-13,A,8.0,9.8,12.5,7.0
2025-10-20,A,7.1,9.8,12.5,7.0
2025-10-27,A,7.6,9.8,12.5,7.0
2025-11-03,A,7.9,9.8,12.5,7.0
2025-11-10,A,7.8,9.8,12.5,7.0
2025-11-17,A,9.5,9.8,12.5,7.0
2025-11-24,A,12.5,9.8,12.5,7.0
2025-12-01,A,10.9,9.8,12.5,7.0
2025-12-08,A,9.6,9.8,12.5,7.0
2025-12-15,A,14.4,9.8,12.5,7.0
2025-12-22,A,4.5,9.8,12.5,7.0
2025-12-29,A,6.7,9.8,12.5,7.0
2026-01-05,A,11.4,9.8,12.5,7.0
2026-01-12,A,9.7,9.8,12.5,7.0
2026-01-20,A,8.6,9.8,12.5,7.0
2026-01-26,A,8.4,9.8,12.5,7.0
2026-02-02,A,9.3,9.8,12.5,7.0
2026-02-09,A,11.4,9.8,12.5,7.0
2026-02-17,A,9.6,9.8,12.5,7.0
2026-02-23,A,18.0,9.8,12.5,7.0
2026-03-02,A,14.2,9.8,12.5,7.0
2026-03-09,A,11.0,9.8,12.5,7.0
2026-03-16,A,13.3,9.8,12.5,7.0
2026-03-23,A,9.6,9.8,12.5,7.0
2026-03-30,A,6.5,9.8,12.5,7.0
2026-04-06,A,6.4,9.8,12.5,7.0
2026-04-13,A,12.2,9.8,12.5,7.0
2026-04-20,A,9.0,9.8,12.5,7.0
2026-04-27,A,9.2,9.8,12.5,7.0
2026-05-04,A,12.7,9.8,12.5,7.0
2026-05-11,A,9.1,9.8,12.5,7.0
2026-05-18,A,12.3,9.8,12.5,7.0
2026-05-26,A,17.3,9.8,12.5,7.0
2026-06-01,A,13.0,9.8,12.5,7.0
2026-06-08,A,10.4,9.8,12.5,7.0
2026-06-15,A,10.7,9.8,12.5,7.0
2026-06-22,A,12.0,9.8,12.5,7.0
2026-06-29,A,3.9,9.8,12.5,7.0
2025-05-05,AAPL,275.7,245.9,312.6,179.1
2025-05-12,AAPL,264.8,245.9,312.6,179.1
2025-05-19,AAPL,273.0,245.9,312.6,179.1
2025-05-27,AAPL,223.8,245.9,312.6,179.1
2025-06-02,AAPL,227.1,245.9,312.6,179.1
2025-06-09,AAPL,283.9,245.9,312.6,179.1
2025-06-16,AAPL,224.1,245.9,312.6,179.1
2025-06-23,AAPL,273.4,245.9,312.6,179.1
2025-06-30,AAPL,273.6,245.9,312.6,179.1
2025-07-07,AAPL,226.0,245.9,312.6,179.1
2025-07-14,AAPL,225.7,245.9,312.6,179.1
2025-07-21,AAPL,231.1,245.9,312.6,179.1
2025-07-28,AAPL,319.9,245.9,312.6,179.1
2025-08-04,AAPL,431.8,245.9,312.6,179.1
2025-08-11,AAPL,295.3,245.9,312.6,179.1
2025-08-18,AAPL,192.2,245.9,312.6,179.1
2025-08-25,AAPL,194.3,245.9,312.6,179.1
2025-09-02,AAPL,212.9,245.9,312.6,179.1
2025-09-08,AAPL,304.8,245.9,312.6,179.1
2025-09-15,AAPL,360.6,245.9,312.6,179.1
2025-09-22,AAPL,309.4,245.9,312.6,179.1
2025-09-29,AAPL,218.3,245.9,312.6,179.1
2025-10-06,AAPL,213.4,245.9,312.6,179.1
2025-10-13,AAPL,196.4,245.9,312.6,179.1
2025-10-20,AAPL,253.2,245.9,312.6,179.1
2025-10-27,AAPL,293.6,245.9,312.6,179.1
2025-11-03,AAPL,242.6,245.9,312.6,179.1
2025-11-10,AAPL,233.0,245.9,312.6,179.1
