Date,Ticker,monthly_range,monthly_range_avg,monthly_range_hi,monthly_range_lo
2025-05-01,A,12.9,17.3,22.4,12.2
2025-06-01,A,13.1,17.3,22.4,12.2
2025-07-01,A,15.7,17.3,22.4,12.2
2025-08-01,A,15.1,17.3,22.4,12.2
2025-09-01,A,10.2,17.3,22.4,12.2
2025-10-01,A,21.3,17.3,22.4,12.2
2025-11-01,A,20.0,17.3,22.4,12.2
2025-12-01,A,17.9,17.3,22.4,12.2
2026-01-01,A,20.5,17.3,22.4,12.2
2026-02-01,A,23.4,17.3,22.4,12.2
2026-03-01,A,11.3,17.3,22.4,12.2
2026-04-01,A,14.6,17.3,22.4,12.2
2026-05-01,A,31.0,17.3,22.4,12.2
2026-06-01,A,17.4,17.3,22.4,12.2
2026-07-01,A,17.0,17.3,22.4,12.2
2025-05-01,AAPL,21.3,28.2,39.3,17.1
2025-06-01,AAPL,12.3,28.2,39.3,17.1
2025-07-01,AAPL,10.1,28.2,39.3,17.1
2025-08-01,AAPL,33.6,28.2,39.3,17.1
2025-09-01,AAPL,31.7,28.2,39.3,17.1
2025-10-01,AAPL,33.3,28.2,39.3,17.1
2025-11-01,AAPL,15.1,28.2,39.3,17.1
2025-12-01,AAPL,21.7,28.2,39.3,17.1
2026-01-01,AAPL,34.4,28.2,39.3,17.1
2026-02-01,AAPL,25.5,28.2,39.3,17.1
2026-03-01,AAPL,21.0,28.2,39.3,17.1
2026-04-01,AAPL,30.3,28.2,39.3,17.1
2026-05-01,AAPL,40.1,28.2,39.3,17.1
2026-06-01,AAPL,43.7,28.2,39.3,17.1
2026-07-01,AAPL,50.4,28.2,39.3,17.1
2025-05-01,ABBV,22.4,24.9,34.0,15.9
2025-06-01,ABBV,11.9,24.9,34.0,15.9
2025-07-01,ABBV,14.4,24.9,34.0,15.9
2025-08-01,ABBV,22.7,24.9,34.0,15.9
2025-09-01,ABBV,24.7,24.9,34.0,15.9
2025-10-01,ABBV,28.8,24.9,34.0,15.9
2025-11-01,ABBV,27.6,24.9,34.0,15.9
2025-12-01,ABBV,11.8,24.9,34.0,15.9
2026-01-01,ABBV,27.1,24.9,34.0,15.9
2026-02-01,ABBV,31.0,24.9,34.0,15.9
2026-03-01,ABBV,35.3,24.9,34.0,15.9
2026-04-01,ABBV,29.7,24.9,34.0,15.9
2026-05-01,ABBV,20.0,24.9,34.0,15.9
2026-06-01,ABBV,47.0,24.9,34.0,15.9
2026-07-01,ABBV,19.0,24.9,34.0,15.9
2025-05-01,ABNB,19.7,17.3,21.8,12.8
2025-06-01,ABNB,16.8,17.3,21.8,12.8
2025-07-01,ABNB,11.2,17.3,21.8,12.8
2025-08-01,ABNB,14.9,17.3,21.8,12.8
2025-09-01,ABNB,9.5,17.3,21.8,12.8
2025-10-01,ABNB,13.7,17.3,21.8,12.8
2025-11-01,ABNB,16.5,17.3,21.8,12.8
