Date,Ticker,monthly_volume,monthly_volume_avg,monthly_volume_hi,monthly_volume_lo
2025-07-01,A,40.0,42.2,49.6,34.7
2025-08-01,A,29.6,42.2,49.6,34.7
2025-09-01,A,37.3,42.2,49.6,34.7
2025-10-01,A,39.4,42.2,49.6,34.7
2025-11-01,A,37.8,42.2,49.6,34.7
2025-12-01,A,44.4,42.2,49.6,34.7
2026-01-01,A,39.7,42.2,49.6,34.7
2026-02-01,A,48.3,42.2,49.6,34.7
2026-03-01,A,52.0,42.2,49.6,34.7
2026-04-01,A,38.2,42.2,49.6,34.7
2026-05-01,A,52.6,42.2,49.6,34.7
2026-06-01,A,49.9,42.2,49.6,34.7
2026-07-01,A,49.0,42.2,49.6,34.7
2026-08-01,A,43.6,42.2,49.6,34.7
2026-09-01,A,22.5,42.2,49.6,34.7
2025-07-01,AAPL,1079.9,1035.6,1224.2,847.1
2025-08-01,AAPL,1218.1,1035.6,1224.2,847.1
2025-09-01,AAPL,1265.5,1035.6,1224.2,847.1
2025-10-01,AAPL,1097.1,1035.6,1224.2,847.1
2025-11-01,AAPL,877.6,1035.6,1224.2,847.1
2025-12-01,AAPL,924.5,1035.6,1224.2,847.1
2026-01-01,AAPL,1040.0,1035.6,1224.2,847.1
2026-02-01,AAPL,988.9,1035.6,1224.2,847.1
2026-03-01,AAPL,900.0,1035.6,1224.2,847.1
2026-04-01,AAPL,907.5,1035.6,1224.2,847.1
2026-05-01,AAPL,981.3,1035.6,1224.2,847.1
2026-06-01,AAPL,1401.4,1035.6,1224.2,847.1
2026-07-01,AAPL,1198.9,1035.6,1224.2,847.1
2026-08-01,AAPL,902.4,1035.6,1224.2,847.1
2026-09-01,AAPL,492.6,1035.6,1224.2,847.1
2025-07-01,ABBV,123.1,127.2,155.5,99.0
2025-08-01,ABBV,96.5,127.2,155.5,99.0
2025-09-01,ABBV,115.7,127.2,155.5,99.0
2025-10-01,ABBV,137.5,127.2,155.5,99.0
2025-11-01,ABBV,119.7,127.2,155.5,99.0
2025-12-01,ABBV,112.0,127.2,155.5,99.0
2026-01-01,ABBV,146.1,127.2,155.5,99.0
2026-02-01,ABBV,137.8,127.2,155.5,99.0
2026-03-01,ABBV,166.4,127.2,155.5,99.0
2026-04-01,ABBV,143.7,127.2,155.5,99.0
2026-05-01,ABBV,111.2,127.2,155.5,99.0
2026-06-01,ABBV,182.1,127.2,155.5,99.0
2026-07-01,ABBV,133.6,127.2,155.5,99.0
2026-08-01,ABBV,100.0,127.2,155.5,99.0
2026-09-01,ABBV,46.6,127.2,155.5,99.0
2025-07-01,ABNB,74.4,91.8,111.5,72.0
2025-08-01,ABNB,119.6,91.8,111.5,72.0
2025-09-01,ABNB,104.5,91.8,111.5,72.0
2025-10-01,ABNB,99.8,91.8,111.5,72.0
2025-11-01,ABNB,110.8,91.8,111.5,72.0
2025-12-01,ABNB,96.4,91.8,111.5,72.0
2026-01-01,ABNB,81.2,91.8,111.5,72.0
2026-02-01,ABNB,118.0,91.8,111.5,72.0
2026-03-01,ABNB,83.7,91.8,111.5,72.0
2026-04-01,ABNB,67.9,91.8,111.5,72.0
2026-05-01,ABNB,82.7,91.8,111.5,72.0
2026-06-01,ABNB,84.6,91.8,111.5,72.0
2026-07-01,ABNB,73.6,91.8,111.5,72.0
2026-08-01,ABNB,119.8,91.8,111.5,72.0
2026-09-01,ABNB,43.3,91.8,111.5,72.0
2025-07-01,ABT,167.0,191.7,259.5,123.9
2025-08-01,ABT,112.4,191.7,259.5,123.9
2025-09-01,ABT,114.3,191.7,259.5,123.9
2025-10-01,ABT,149.5,191.7,259.5,123.9
2025-11-01,ABT,127.0,191.7,259.5,123.9
2025-12-01,ABT,125.7,191.7,259.5,123.9
2026-01-01,ABT,238.7,191.7,259.5,123.9
2026-02-01,ABT,187.8,191.7,259.5,123.9
2026-03-01,ABT,271.4,191.7,259.5,123.9
2026-04-01,ABT,261.6,191.7,259.5,123.9
