Ticker,Ticker_name,Category,Date,daily_return_pct
HOOD,"ROBINHOOD MARKETS, INC.",Financials,2026-09-03,0.1657
COIN,"COINBASE GLOBAL, INC.",Financials,2026-09-03,0.1014
PLTR,PALANTIR TECHNOLOGIES INC.,Information Technology,2026-09-03,0.0771
NOW,"SERVICENOW, INC.",Information Technology,2026-09-03,0.0649
PFG,"PRINCIPAL FINANCIAL GROUP, INC.",Financials,2026-09-03,0.0647
AXON,"AXON ENTERPRISE, INC.",Industrials,2026-09-03,0.0615
ORCL,ORACLE ,Information Technology,2026-09-03,0.0569
CRWD,"CROWDSTRIKE HOLDINGS, INC.",Information Technology,2026-09-03,0.0568
TSLA,"TESLA, INC.",Consumer Discretionary,2026-09-03,0.0542
BTC=F,BITCOIN FUTURES,Futures,2026-09-03,0.0517
