Ticker,Ticker_name,Category,Date,model_score
MS,MORGAN STANLEY,Financials,2026-07-22,99.0
CDNS,"CADENCE DESIGN SYSTEMS, INC.",Information Technology,2026-07-22,83.0
STNG,SCORPIO TANKERS INC.,MR Discretion,2026-07-22,78.0
AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,2026-07-22,77.0
RCL,ROYAL CARIBBEAN CRUISES LTD.,Consumer Discretionary,2026-07-22,77.0
YUM,"YUM! BRANDS, INC.",Consumer Discretionary,2026-07-22,77.0
WMB,"THE WILLIAMS COMPANIES, INC.",Energy,2026-07-22,75.0
VXN,CBOE NASDAQ MKT VOL NDX,Volatility,2026-07-22,72.0
HLT,HILTON WORLDWIDE HOLDINGS INC.,Consumer Discretionary,2026-07-22,71.0
TJX,"THE TJX COMPANIES, INC.",Consumer Discretionary,2026-07-22,65.0
