Ticker,Ticker_name,Category,Date,ST_Trend,MT_Trend,ST_Trend_Change,MT_Trend_Change,prem_disc,ChaseScore,model_score
DLTR,"DOLLAR TREE, INC.",Consumer Staples,2026-08-11,0.0019,0.086,0.0004,0.0159,0.7184,0.8025,22.0
TGT,TARGET ,Consumer Staples,2026-08-11,0.0248,0.0386,0.0036,0.0122,0.7677,0.7815,-8.0
PNC,"THE PNC FINANCIAL SERVICES GROUP, INC.",Financials,2026-08-11,0.0017,0.0352,0.001,0.0069,0.6329,0.6664,12.0
XEL,XCEL ENERGY INC.,Utilities,2026-08-11,-0.0087,0.0058,0.0012,0.0027,0.5924,0.6069,77.0
HYD,VANECK:HIGH YIELD MUNI,Bonds,2026-08-11,-0.0104,0.0004,0.0014,0.0024,0.5394,0.5502,25.0
HSIC,"HENRY SCHEIN, INC.",Health Care,2026-08-11,0.0153,0.0466,0.0023,0.0097,0.462,0.4933,38.0
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-08-11,-0.0017,0.0016,0.0002,0.0002,0.4847,0.4879,-27.0
A,"AGILENT TECHNOLOGIES, INC.",Health Care,2026-08-11,0.0331,0.0483,0.0173,0.0073,0.3487,0.3639,-26.0
BAC,BANK OF AMERICA ,Financials,2026-08-11,0.0143,0.048,0.0038,0.0119,0.3265,0.3602,-3.0
WSM,"WILLIAMS-SONOMA, INC.",Consumer Discretionary,2026-08-11,0.0346,0.0564,0.0031,0.0146,0.3383,0.3601,-20.0
