Ticker,Ticker_name,Category,Date,ST_Trend,LT_Trend,MT_Trend,ST_Trend_Change,MT_Trend_Change,prem_disc,WatchScore
SCHP,SCHWAB STR:US TIPS,Bonds,2026-06-16,-0.0016,0.3053,0.0031,0.0003,0.0011,1.0448,1.3517
EA,ELECTRONIC ARTS INC.,Communication Services,2026-06-16,0.0046,0.024,0.0073,0.0004,0.0019,1.2329,1.2522
XLB,SEL SECTOR:MATRLS SPDR,Sector & Style ETFs,2026-06-16,0.0092,0.2175,0.0121,0.0001,0.0104,0.8466,1.0549
XLP,SEL SECTOR:C STP SPDR,Sector & Style ETFs,2026-06-16,0.0046,0.0257,0.0131,0.0022,0.0101,0.9615,0.9827
JBHT,"J. B. HUNT TRANSPORT SERVICES, INC.",Industrials,2026-06-16,0.024,0.0362,0.0735,0.001,0.0027,0.7486,0.7609
IWF,ISHARES:RUSS 1000 GR ETF,Sector & Style ETFs,2026-06-16,-0.0154,0.4341,0.031,0.0002,0.007,0.1936,0.6431
XLC,SEL SECTOR:COMM SVC SPDR,Sector & Style ETFs,2026-06-16,-0.0135,0.0191,-0.0108,0.0003,0.0047,0.4813,0.514
SDY,SPDR S&P DIVIDEND,Sector & Style ETFs,2026-06-16,0.0084,0.0143,0.0097,0.0013,0.0111,0.5007,0.5066
BTI,BRITISH AMERICAN TOBACCO P.L.C.,MR Discretion,2026-06-16,-0.0233,0.0853,0.0229,0.0003,0.0017,0.3829,0.4916
STX,SEAGATE TECHNOLOGY HOLDINGS,Information Technology,2026-06-16,0.0576,0.2379,0.1573,0.0131,0.0075,0.2629,0.4432
