Ticker,Ticker_name,Category,Date,ST_Trend,MT_Trend,LT_Trend,ST_Trend_Change,MT_Trend_Change,UpCycleScore
SCHP,SCHWAB STR:US TIPS,Bonds,2026-08-26,0.0013,0.0042,0.2992,0.0004,0.0001,0.2978
VXN,CBOE NASDAQ MKT VOL NDX,Volatility,2026-08-26,-0.0367,0.0305,0.1207,0.0057,0.0084,0.1573
WELL,WELLTOWER INC.,Real Estate,2026-08-26,0.0063,0.0187,0.1047,0.0015,0.009,0.0984
TRV,"THE TRAVELERS COMPANIES, INC.",Financials,2026-08-26,-0.0105,0.0446,0.0781,0.0001,0.0023,0.0886
WMB,"THE WILLIAMS COMPANIES, INC.",Energy,2026-08-26,0.0069,0.0124,0.0808,0.0049,0.0074,0.0739
SNA,SNAP-ON INC.,Industrials,2026-08-26,-0.0143,0.0222,0.0522,0.0012,0.0016,0.0665
KMI,"KINDER MORGAN, INC.",Energy,2026-08-26,0.0023,0.0035,0.0681,0.0032,0.0069,0.0658
VTR,"VENTAS, INC.",Real Estate,2026-08-26,0.0038,0.0127,0.0666,0.001,0.009,0.0628
GL,GLOBE LIFE INC.,Financials,2026-08-26,-0.0208,0.0226,0.0391,0.002,0.0008,0.0599
MNST,MONSTER BEVERAGE ,Consumer Staples,2026-08-26,0.0031,0.022,0.0625,0.0011,0.0002,0.0594
