Ticker,Ticker_name,Category,Date,Spread_Quad,Spread_Score
SNA,SNAP-ON INC.,Industrials,2026-05-26,3,41.0319
HLX,"HELIX ENERGY SOLUTIONS GROUP, INC.",MR Discretion,2026-05-26,3,21.4651
PPG,"PPG INDUSTRIES, INC.",Materials,2026-05-26,3,17.0398
PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,2026-05-26,3,16.4413
MAS,MASCO ,Industrials,2026-05-26,3,15.5589
INTC,INTEL ,Information Technology,2026-05-26,3,15.2882
PYPL,"PAYPAL HOLDINGS, INC.",Financials,2026-05-26,3,14.4443
HOOD,"ROBINHOOD MARKETS, INC.",Financials,2026-05-26,3,14.1794
T,AT&T INC.,Communication Services,2026-05-26,3,12.1224
META,"META PLATFORMS, INC.",Communication Services,2026-05-26,3,11.7128
