Ticker,Ticker_name,Category,Date,change_pct
SNDK,SANDISK CORPORATION,Information Technology,2026-08-25,1.125
WDC,WESTERN DIGITAL ,Information Technology,2026-08-25,0.7266
IWF,ISHARES:RUSS 1000 GR ETF,Sector & Style ETFs,2026-08-25,0.5921
APP,APPLOVIN CORP,Information Technology,2026-08-25,0.5874
Q,"QNITY ELECTRONICS, INC.",Information Technology,2026-08-25,0.5625
STX,SEAGATE TECHNOLOGY HOLDINGS,Information Technology,2026-08-25,0.5118
LITE,LUMENTUM HOLDINGS INC.,Information Technology,2026-08-25,0.5005
CIEN,CIENA CORPORATION,Information Technology,2026-08-25,0.4742
COHR,COHERENT CORP.,Information Technology,2026-08-25,0.4583
FIX,"COMFORT SYSTEMS USA, INC.",Industrials,2026-08-25,0.4455
