Ticker,Ticker_name,Category,Date,Sharpe_Rank,previous_Sharpe_Rank,Sharpe_Rank_daily_change
PFF,ISHARES:PREF AND INC SEC,Bonds,2026-07-28,37.7,49.8,-12.099999999999994
STIP,ISHARES:0-5 TIPS BD ETF,Bonds,2026-07-28,23.8,24.0,-0.1999999999999993
SHY,ISHARES:1-3 TRS BD ETF,Bonds,2026-07-28,23.6,15.3,8.3
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-07-28,8.1,8.1,0.0
JNK,SPDR BBG HIGH YIELD BD,Bonds,2026-07-28,6.5,6.2,0.2999999999999998
IEF,ISHARES:7-10 TRS BD ETF,Bonds,2026-07-28,5.0,3.0,2.0
MUB,ISHARES:NATL MUNI BOND,Bonds,2026-07-28,4.6,3.8,0.7999999999999998
TLT,ISHARES:20+ TRS BD ETF,Bonds,2026-07-28,2.2,0.6,1.6
LQD,ISHARES:IBOXX $IG CORP,Bonds,2026-07-28,1.4,0.6,0.7999999999999999
EDV,VANGUARD EXT DUR T;ETF,Bonds,2026-07-28,1.4,1.0,0.3999999999999999
TIP,ISHARES:TIPS BD ETF,Bonds,2026-07-28,1.4,1.0,0.3999999999999999
SCHP,SCHWAB STR:US TIPS,Bonds,2026-07-28,1.0,0.6,0.4
HYD,VANECK:HIGH YIELD MUNI,Bonds,2026-07-28,1.0,1.0,0.0
WEAT,TEUCRIUM:WHEAT,Commodities,2026-07-28,99.0,94.6,4.400000000000006
CORN,TEUCRIUM:CORN,Commodities,2026-07-28,98.2,85.5,12.700000000000003
TAGS,TEUCRIUM:AGRICULTURAL,Commodities,2026-07-28,90.7,83.9,6.799999999999997
COMT,ISHARES:GSCI COMM DYN RS,Commodities,2026-07-28,85.1,89.1,-4.0
DBC,INVESCO DB CM IDX,Commodities,2026-07-28,81.9,87.1,-5.199999999999989
SOYB,TEUCRIUM:SOYBEAN,Commodities,2026-07-28,79.2,70.0,9.200000000000003
DBA,INVESCO DB MS AGRI,Commodities,2026-07-28,76.0,65.7,10.299999999999997
USO,UNITED STATES OIL FUND,Commodities,2026-07-28,73.6,83.5,-9.900000000000006
DBB,INVESCO DB MS BMTL,Commodities,2026-07-28,57.7,57.3,0.4000000000000057
PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,2026-07-28,57.3,51.8,5.5
CPER,UNITED STATES COPPER IDX,Commodities,2026-07-28,54.2,60.9,-6.699999999999996
GLD,SPDR GOLD,Commodities,2026-07-28,41.9,42.7,-0.8000000000000043
CANE,TEUCRIUM:SUGAR,Commodities,2026-07-28,39.5,55.4,-15.899999999999999
GDXJ,VANECK:JR GOLD MINERS,Commodities,2026-07-28,33.9,35.5,-1.6000000000000014
GDX,VANECK:GOLD MINERS,Commodities,2026-07-28,31.5,33.1,-1.6000000000000014
SLV,ISHARES:SILVER TRUST,Commodities,2026-07-28,30.0,35.1,-5.100000000000001
SILJ,ETFMG PRIME JR SILVR MNR,Commodities,2026-07-28,16.9,24.0,-7.100000000000001
URA,GLBL X URANIUM ETF,Commodities,2026-07-28,9.5,22.6,-13.100000000000001
UNG,UNITED STATES NAT GAS,Commodities,2026-07-28,5.0,3.4,1.6
OMC,OMNICOM GROUP INC.,Communication Services,2026-07-28,98.6,93.1,5.5
NWSA,NEWS CORP.,Communication Services,2026-07-28,93.1,84.3,8.799999999999997
EA,ELECTRONIC ARTS INC.,Communication Services,2026-07-28,90.3,90.9,-0.6000000000000085
T,AT&T INC.,Communication Services,2026-07-28,88.7,80.0,8.700000000000003
