Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_wtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-07-16,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,17.8,73.6,55.8
2026-07-16,AAPL,APPLE INC.,Information Technology,Information Technology,10.3,72.8,62.5
2026-07-16,ABBV,ABBVIE INC.,Health Care,Health Care,11.9,86.3,74.4
2026-07-16,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,-26.2,64.5,90.7
2026-07-16,ABT,ABBOTT LABORATORIES,Health Care,Health Care,0.0,87.5,87.5
2026-07-16,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,-11.1,84.3,95.4
2026-07-16,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,20.2,46.6,26.4
2026-07-16,ADBE,ADOBE INC.,Information Technology,Information Technology,41.2,96.2,55.0
2026-07-16,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,-26.6,16.9,43.5
2026-07-16,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,50.8,78.4,27.6
2026-07-16,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,14.7,99.8,85.1
2026-07-16,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,41.7,88.7,47.0
2026-07-16,AEE,AMEREN ,Utilities,Utilities,-8.7,51.0,59.7
2026-07-16,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,-22.6,43.5,66.1
2026-07-16,AES,THE AES ,Utilities,Utilities,3.2,76.0,72.8
2026-07-16,AFL,AFLAC INC.,Financials,Financials,3.8,85.1,81.3
2026-07-16,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,-9.2,72.0,81.2
2026-07-16,AIZ,"ASSURANT, INC.",Financials,Financials,-17.8,77.2,95.0
2026-07-16,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,1.6,96.6,95.0
2026-07-16,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-21.4,17.7,39.1
2026-07-16,ALB,ALBEMARLE ,Materials,Materials,-7.5,0.2,7.7
2026-07-16,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,-10.3,40.3,50.6
2026-07-16,ALL,THE ALLSTATE ,Financials,Financials,-8.8,84.3,93.1
2026-07-16,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,-5.1,65.7,70.8
2026-07-16,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,-28.6,20.0,48.6
2026-07-16,AMCR,AMCOR PLC,Materials,Materials,-11.9,82.7,94.6
2026-07-16,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,-29.0,33.5,62.5
2026-07-16,AME,"AMETEK, INC.",Industrials,Industrials,-16.7,47.4,64.1
2026-07-16,AMGN,AMGEN INC.,Health Care,Health Care,0.0,83.5,83.5
2026-07-16,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,0.4,95.4,95.0
2026-07-16,AMT,AMERICAN TOWER ,Real Estate,Real Estate,18.0,23.8,5.8
2026-07-16,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,-7.5,52.2,59.7
2026-07-16,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,-51.6,35.1,86.7
2026-07-16,AON,AON PLC,Financials,Financials,7.5,97.4,89.9
2026-07-16,AOS,A. O. SMITH ,Industrials,Industrials,-24.8,47.2,72.0
2026-07-16,APA,APA ,Energy,Energy,34.5,39.1,4.6
2026-07-16,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,-7.1,67.3,74.4
