Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_mtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-06-29,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,-45.2,36.3,81.5
2026-06-29,AAPL,APPLE INC.,Information Technology,Information Technology,-88.5,10.9,99.4
2026-06-29,ABBV,ABBVIE INC.,Health Care,Health Care,21.5,91.5,70.0
2026-06-29,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,68.5,87.7,19.2
2026-06-29,ABT,ABBOTT LABORATORIES,Health Care,Health Care,63.5,96.6,33.1
2026-06-29,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,88.1,97.0,8.9
2026-06-29,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,-74.6,6.2,80.8
2026-06-29,ADBE,ADOBE INC.,Information Technology,Information Technology,-65.9,18.8,84.7
2026-06-29,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,-10.7,28.0,38.7
2026-06-29,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,-57.1,13.7,70.8
2026-06-29,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,-13.1,75.2,88.3
2026-06-29,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,-29.7,14.9,44.6
2026-06-29,AEE,AMEREN ,Utilities,Utilities,62.5,71.2,8.7
2026-06-29,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,75.0,84.7,9.7
2026-06-29,AES,THE AES ,Utilities,Utilities,-62.5,13.3,75.8
2026-06-29,AFL,AFLAC INC.,Financials,Financials,58.8,92.3,33.5
2026-06-29,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,17.5,66.9,49.4
2026-06-29,AIZ,"ASSURANT, INC.",Financials,Financials,23.0,88.7,65.7
2026-06-29,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,36.5,97.0,60.5
2026-06-29,AKAM,"AKAMAI TECHNOLOGIES, INC.",Information Technology,Information Technology,-90.9,0.2,91.1
2026-06-29,ALB,ALBEMARLE ,Materials,Materials,1.2,1.8,0.6
2026-06-29,ALGN,"ALIGN TECHNOLOGY, INC.",Health Care,Health Care,-2.4,38.3,40.7
2026-06-29,ALL,THE ALLSTATE ,Financials,Financials,86.1,97.8,11.7
2026-06-29,ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,Industrials,54.4,78.4,24.0
2026-06-29,AMAT,"APPLIED MATERIALS, INC.",Information Technology,Information Technology,17.4,84.3,66.9
2026-06-29,AMCR,AMCOR PLC,Materials,Materials,32.5,94.6,62.1
2026-06-29,AMD,"ADVANCED MICRO DEVICES, INC.",Information Technology,Information Technology,-36.1,41.5,77.6
2026-06-29,AME,"AMETEK, INC.",Industrials,Industrials,54.0,64.9,10.9
2026-06-29,AMGN,AMGEN INC.,Health Care,Health Care,46.6,81.5,34.9
2026-06-29,AMP,"AMERIPRISE FINANCIAL, INC.",Financials,Financials,48.4,58.1,9.7
2026-06-29,AMT,AMERICAN TOWER ,Real Estate,Real Estate,-50.8,20.0,70.8
2026-06-29,AMZN,"AMAZON.COM, INC.",Consumer Discretionary,Consumer Discretionary,-36.3,13.5,49.8
2026-06-29,ANET,"ARISTA NETWORKS, INC.",Information Technology,Information Technology,21.1,41.5,20.4
2026-06-29,AON,AON PLC,Financials,Financials,16.9,86.3,69.4
2026-06-29,AOS,A. O. SMITH ,Industrials,Industrials,58.1,82.1,24.0
2026-06-29,APA,APA ,Energy,Energy,1.5,6.5,5.0
2026-06-29,APD,"AIR PRODUCTS AND CHEMICALS, INC.",Materials,Materials,19.3,27.0,7.7
2026-06-29,APH,AMPHENOL ,Information Technology,Information Technology,25.8,59.3,33.5
2026-06-29,APO,"APOLLO GLOBAL MANAGEMENT, INC.",Financials,Financials,-32.1,17.3,49.4
2026-06-29,APP,APPLOVIN CORP,Information Technology,Information Technology,-79.4,9.3,88.7
2026-06-29,APTV,APTIV PLC,Consumer Discretionary,Consumer Discretionary,-54.0,23.6,77.6
2026-06-29,ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,Real Estate,-21.4,72.8,94.2
2026-06-29,ARES,ARES MANAGEMENT CORP,Financials,Financials,-72.8,11.9,84.7
2026-06-29,ASC,ARDMORE SHIPPING ,,MR Discretion,4.8,16.5,11.7
2026-06-29,ATO,ATMOS ENERGY ,Utilities,Utilities,75.0,75.2,0.2
2026-06-29,AVB,"AVALONBAY COMMUNITIES, INC.",Real Estate,Real Estate,32.9,88.7,55.8
2026-06-29,AVGO,BROADCOM INC.,Information Technology,Information Technology,-53.1,3.8,56.9
2026-06-29,AVY,AVERY DENNISON ,Materials,Materials,33.0,68.1,35.1
2026-06-29,AWK,"AMERICAN WATER WORKS COMPANY, INC.",Utilities,Utilities,78.7,97.2,18.5
2026-06-29,AXON,"AXON ENTERPRISE, INC.",Industrials,Industrials,5.9,81.9,76.0
2026-06-29,AXP,AMERICAN EXPRESS COMPANY,Financials,Financials,47.2,76.8,29.6
2026-06-29,AZO,"AUTOZONE, INC.",Consumer Discretionary,Consumer Discretionary,73.4,76.4,3.0
2026-06-29,BA,THE BOEING COMPANY,Industrials,Industrials,-22.6,26.4,49.0
2026-06-29,BAC,BANK OF AMERICA ,Financials,Financials,78.2,98.2,20.0
2026-06-29,BALL,BALL ,Materials,Materials,76.0,92.3,16.3
2026-06-29,BAX,BAXTER INTERNATIONAL INC.,Health Care,Health Care,7.1,96.2,89.1
2026-06-29,BBY,"BEST BUY CO., INC.",Consumer Discretionary,Consumer Discretionary,-40.5,58.1,98.6
2026-06-29,BDX,"BECTON, DICKINSON AND COMPANY",Health Care,Health Care,40.5,76.0,35.5
2026-06-29,BEN,"FRANKLIN RESOURCES, INC.",Financials,Financials,11.5,60.5,49.0
2026-06-29,BF.B,BROWN-FORMAN ,Consumer Staples,Consumer Staples,28.0,79.8,51.8
2026-06-29,BG,BUNGE LIMITED,Consumer Staples,Consumer Staples,-15.8,4.2,20.0
2026-06-29,BIIB,BIOGEN INC.,Health Care,Health Care,29.7,84.7,55.0
2026-06-29,BKNG,BOOKING HOLDINGS INC.,Consumer Discretionary,Consumer Discretionary,32.1,85.5,53.4
2026-06-29,BKR,BAKER HUGHES COMPANY,Energy,Energy,-2.8,1.8,4.6
2026-06-29,BLDR,"BUILDERS FIRSTSOURCE, INC.",Industrials,Industrials,47.6,94.6,47.0
2026-06-29,BLK,"BLACKROCK, INC.",Financials,Financials,-22.3,8.5,30.8
2026-06-29,BMY,BRISTOL-MYERS SQUIBB COMPANY,Health Care,Health Care,52.0,62.9,10.9
2026-06-29,BNY,THE BANK OF NEW YORK MELLON ,Financials,Financials,-17.8,39.1,56.9
2026-06-29,BR,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",Industrials,Industrials,-47.2,23.6,70.8
2026-06-29,BRK.B,"BERKSHIRE HATHAWAY INC.,",Financials,Financials,29.4,93.5,64.1
2026-06-29,BRO,"BROWN & BROWN, INC.",Financials,Financials,56.7,99.4,42.7
2026-06-29,BSX,BOSTON SCIENTIFIC ,Health Care,Health Care,-11.1,10.5,21.6
2026-06-29,BTC=F,BITCOIN FUTURES,,Futures,-17.9,8.1,26.0
2026-06-29,BTI,BRITISH AMERICAN TOBACCO P.L.C.,,MR Discretion,-3.2,47.8,51.0
2026-06-29,BTU,PEABODY ENERGY ,,MR Discretion,-32.9,13.7,46.6
2026-06-29,BX,BLACKSTONE INC,Financials,Financials,15.4,46.2,30.8
2026-06-29,BXP,"BOSTON PROPERTIES, INC.",Real Estate,Real Estate,15.1,86.7,71.6
2026-06-29,C,CITIGROUP INC.,Financials,Financials,57.2,79.2,22.0
2026-06-29,CAG,"CONAGRA BRANDS, INC.",Consumer Staples,Consumer Staples,63.9,92.7,28.8
2026-06-29,CAH,"CARDINAL HEALTH, INC.",Health Care,Health Care,47.6,99.8,52.2
2026-06-29,CALM,"CAL-MAINE FOODS, INC.",,MR Discretion,47.2,87.1,39.9
2026-06-29,CANE,TEUCRIUM:SUGAR,,Commodities,34.6,79.6,45.0
2026-06-29,CARR,CARRIER GLOBAL ,Industrials,Industrials,44.8,87.5,42.7
2026-06-29,CASY,"CASEY'S GENERAL STORES, INC.",Consumer Staples,Consumer Staples,22.2,33.5,11.3
2026-06-29,CAT,CATERPILLAR INC.,Industrials,Industrials,47.2,58.9,11.7
2026-06-29,CB,CHUBB LTD,Financials,Financials,90.5,93.1,2.6
2026-06-29,CBOE,"CBOE GLOBAL MARKETS, INC.",Financials,Financials,-60.9,1.0,61.9
