Date,Ticker,Ticker_name,Exposure,Category,Sharpe_Rank_qtd_change,current_Sharpe_Rank,previous_Sharpe_Rank
2026-08-25,A,"AGILENT TECHNOLOGIES, INC.",Health Care,Health Care,56.5,91.5,35.0
2026-08-25,AAPL,APPLE INC.,Information Technology,Information Technology,-8.1,11.3,19.4
2026-08-25,ABBV,ABBVIE INC.,Health Care,Health Care,-50.7,41.9,92.6
2026-08-25,ABNB,"AIRBNB, INC.",Consumer Discretionary,Consumer Discretionary,20.9,85.5,64.6
2026-08-25,ABT,ABBOTT LABORATORIES,Health Care,Health Care,14.8,95.4,80.6
2026-08-25,ACGL,ARCH CAPITAL GROUP LTD.,Financials,Financials,-86.9,9.7,96.6
2026-08-25,ACN,ACCENTURE PUBLIC LIMITED COMPANY,Information Technology,Information Technology,82.1,84.7,2.6
2026-08-25,ADBE,ADOBE INC.,Information Technology,Information Technology,79.3,83.5,4.2
2026-08-25,ADI,"ANALOG DEVICES, INC.",Information Technology,Information Technology,12.0,49.8,37.8
2026-08-25,ADM,ARCHER-DANIELS-MIDLAND COMPANY.,Consumer Staples,Consumer Staples,14.7,16.1,1.4
2026-08-25,ADP,"AUTOMATIC DATA PROCESSING, INC.",Industrials,Industrials,37.7,81.9,44.2
2026-08-25,ADSK,"AUTODESK, INC.",Information Technology,Information Technology,72.2,74.8,2.6
2026-08-25,AEE,AMEREN ,Utilities,Utilities,-72.4,4.6,77.0
2026-08-25,AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,Utilities,-84.1,6.5,90.6
2026-08-25,AES,THE AES ,Utilities,Utilities,-3.9,10.1,14.0
2026-08-25,AFL,AFLAC INC.,Financials,Financials,-78.8,1.8,80.6
2026-08-25,AIG,"AMERICAN INTERNATIONAL GROUP, INC.",Financials,Financials,-59.3,10.9,70.2
2026-08-25,AIZ,"ASSURANT, INC.",Financials,Financials,-57.1,33.9,91.0
2026-08-25,AJG,ARTHUR J. GALLAGHER & CO.,Financials,Financials,-38.5,57.3,95.8
