Ticker,Ticker_name,Category,Date,wtd_return_pct
SMCI,"SUPER MICRO COMPUTER, INC.",Information Technology,2026-07-24,0.2448
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIES ,Industrials,2026-07-24,0.1542
LMT,LOCKHEED MARTIN ,Industrials,2026-07-24,0.1451
DLR,"DIGITAL REALTY TRUST, INC.",Real Estate,2026-07-24,0.1449
SBLK,STAR BULK CARRIERS CORP.,MR Discretion,2026-07-24,0.1301
IP,INTERNATIONAL PAPER COMPANY,Materials,2026-07-24,0.1225
ALLE,ALLEGION PUBLIC LIMITED COMPANY,Industrials,2026-07-24,0.1175
SLB,SCHLUMBERGER N.V.,Energy,2026-07-24,0.1156
GNK,GENCO SHIPPING & TRADING LIMITED,MR Discretion,2026-07-24,0.1099
T,AT&T INC.,Communication Services,2026-07-24,0.1064
