Ticker,Ticker_name,Category,Date,volume
INTC,INTEL ,Information Technology,2026-09-24,504.94
WBD,"WARNER BROS. DISCOVERY, INC.",Communication Services,2026-09-24,501.12
NVDA,NVIDIA ,Information Technology,2026-09-24,372.57
HYG,ISHARES:IBOXX $HY CORP,Bonds,2026-09-24,219.15
PCG,PG&E ,Utilities,2026-09-24,201.13
SPY,SPDR S&P 500 ETF,Sector & Style ETFs,2026-09-24,184.2
F,FORD MOTOR COMPANY,Consumer Discretionary,2026-09-24,182.94
UNG,UNITED STATES NAT GAS,Commodities,2026-09-24,182.12
RIG,TRANSOCEAN LTD,MR Discretion,2026-09-24,179.78
XLF,SEL SECTOR:FINL S SPDR,Sector & Style ETFs,2026-09-24,171.99
