Ticker,Ticker_name,Category,Date,model_score_wtd_change,current_model_score,previous_model_score
PPLT,ABRDN:PHYSICAL PLATINUM,Commodities,2026-09-23,88.0,85.0,-3.0
AXON,"AXON ENTERPRISE, INC.",Industrials,2026-09-23,83.0,45.0,-38.0
UPS,"UNITED PARCEL SERVICE, INC.",Industrials,2026-09-23,80.0,44.0,-36.0
PM,PHILIP MORRIS INTERNATIONAL INC.,Consumer Staples,2026-09-23,76.0,29.0,-47.0
COHR,COHERENT CORP.,Information Technology,2026-09-23,73.0,58.0,-15.0
MCHI,ISHARES:MSCI CHINA,Foreign,2026-09-23,72.0,52.0,-20.0
BKR,BAKER HUGHES COMPANY,Energy,2026-09-23,71.0,71.0,0.0
MCK,MCKESSON ,Health Care,2026-09-23,71.0,47.0,-24.0
TUR,ISHARES:MSCI TURKEY,Foreign,2026-09-23,71.0,86.0,15.0
DD,"DUPONT DE NEMOURS, INC.",Materials,2026-09-23,69.0,57.0,-12.0
