Ticker,Ticker_name,Category,Date,mtd_return_pct
DVA,DAVITA INC.,Health Care,2026-08-18,-0.259
TTD,"THE TRADE DESK, INC.",Communication Services,2026-08-18,-0.2561
APP,APPLOVIN CORP,Information Technology,2026-08-18,-0.2239
GEOS,GEOSPACE TECHNOLOGIES ,MR Discretion,2026-08-18,-0.186
NRG,"NRG ENERGY, INC.",Utilities,2026-08-18,-0.1395
APTV,APTIV PLC,Consumer Discretionary,2026-08-18,-0.1394
VXN,CBOE NASDAQ MKT VOL NDX,Volatility,2026-08-18,-0.1323
TPR,"TAPESTRY, INC.",Consumer Discretionary,2026-08-18,-0.132
STLA,STELLANTIS NV,MR Discretion,2026-08-18,-0.1233
ARE,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",Real Estate,2026-08-18,-0.109
