Ticker,Ticker_name,Category,Date,model_score_mtd_change,current_model_score,previous_model_score
STT,STATE STREET ,Financials,2026-08-11,107.0,66.0,-41.0
AEP,"AMERICAN ELECTRIC POWER COMPANY, INC.",Utilities,2026-08-11,101.0,65.0,-36.0
FTI,TECHNIPFMC PLC,MR Discretion,2026-08-11,100.0,84.0,-16.0
CDW,CDW ,Information Technology,2026-08-11,99.0,49.0,-50.0
NWSA,NEWS CORP.,Communication Services,2026-08-11,98.0,29.0,-69.0
GWW,"W.W. GRAINGER, INC.",Industrials,2026-08-11,96.0,74.0,-22.0
DTE,DTE ENERGY COMPANY,Utilities,2026-08-11,91.0,65.0,-26.0
AEE,AMEREN ,Utilities,2026-08-11,85.0,65.0,-20.0
ASC,ARDMORE SHIPPING ,MR Discretion,2026-08-11,83.0,5.0,-78.0
BBY,"BEST BUY CO., INC.",Consumer Discretionary,2026-08-11,82.0,49.0,-33.0
