Ticker,Ticker_name,Category,Date,qtd_return_pct
PYPL,"PAYPAL HOLDINGS, INC.",Financials,2026-07-16,0.3138
CTAS,CINTAS ,Industrials,2026-07-16,0.2127
MPC,MARATHON PETROLEUM ,Energy,2026-07-16,0.1963
NDAQ,"NASDAQ, INC.",Financials,2026-07-16,0.1958
PSX,PHILLIPS 66,Energy,2026-07-16,0.1909
WDAY,"WORKDAY, INC.",Information Technology,2026-07-16,0.188
META,"META PLATFORMS, INC.",Communication Services,2026-07-16,0.1797
GGB,GERDAU SA,MR Discretion,2026-07-16,0.1683
PAYX,"PAYCHEX, INC.",Industrials,2026-07-16,0.1665
AMP,"AMERIPRISE FINANCIAL, INC.",Financials,2026-07-16,0.1623
