Ticker,Ticker_name,Category,Date,model_score_qtd_change,current_model_score,previous_model_score
FITB,FIFTH THIRD BANCORP,Financials,2026-08-25,153.0,74.0,-79.0
MTB,M&T BANK ,Financials,2026-08-25,140.0,63.0,-77.0
KEY,KEYCORP,Financials,2026-08-25,129.0,47.0,-82.0
CFG,"CITIZENS FINANCIAL GROUP, INC.",Financials,2026-08-25,124.0,63.0,-61.0
USB,U.S. BANCORP,Financials,2026-08-25,121.0,72.0,-49.0
WRB,W. R. BERKLEY ,Financials,2026-08-25,119.0,49.0,-70.0
DTE,DTE ENERGY COMPANY,Utilities,2026-08-25,115.0,24.0,-91.0
EIX,EDISON INTERNATIONAL,Utilities,2026-08-25,115.0,49.0,-66.0
PNC,"THE PNC FINANCIAL SERVICES GROUP, INC.",Financials,2026-08-25,110.0,83.0,-27.0
BAC,BANK OF AMERICA ,Financials,2026-08-25,109.0,45.0,-64.0
