Ticker,Ticker_name,Category,Date,model_score_day_change,current_model_score,previous_model_score
ETN,EATON  PUBLIC LIMITED COMPANY,Industrials,2026-06-23,75.0,39.0,-36.0
HLX,"HELIX ENERGY SOLUTIONS GROUP, INC.",MR Discretion,2026-06-23,72.0,36.0,-36.0
JCI,JOHNSON CONTROLS INTERNATIONAL PLC,Industrials,2026-06-23,72.0,35.0,-37.0
TXN,TEXAS INSTRUMENTS INC.,Information Technology,2026-06-23,69.0,60.0,-9.0
QUAL,ISHARES:MSCI USA QF,Sector & Style ETFs,2026-06-23,67.0,81.0,14.0
AAPL,APPLE INC.,Information Technology,2026-06-23,66.0,99.0,33.0
NXPI,NXP SEMICONDUCTORS NV,Information Technology,2026-06-23,62.0,42.0,-20.0
HD,"THE HOME DEPOT, INC.",Consumer Discretionary,2026-06-23,61.0,23.0,-38.0
IWM,ISHARES:RUSS 2000 ETF,Sector & Style ETFs,2026-06-23,60.0,49.0,-11.0
ICE,"INTERCONTINENTAL EXCHANGE, INC.",Financials,2026-06-23,57.0,44.0,-13.0
