Date,Ticker,Ticker_name,Close,daily_Return,day_pr_low,day_pr_high,day_rr_ratio,model_score,model_score_delta
2026-07-20,PKG,PACKAGING  OF AMERICA,233.07,-0.0041,220.67,237.64,-2.713347921225388,26.0,73.0
2026-07-20,KO,THE COCA-COLA COMPANY,81.56,-0.0396,80.75,87.04,6.765432098765418,23.0,69.0
2026-07-20,WM,"WASTE MANAGEMENT, INC.",239.31,-0.0121,230.86,251.03,1.3869822485207117,-2.0,68.0
2026-07-20,GM,GENERAL MOTORS COMPANY,76.07,-0.0212,74.28,78.99,1.6312849162011256,40.0,67.0
2026-07-20,XLY,SEL SECTOR:C DSC SPDR,115.44,-0.0162,113.89,120.41,3.2064516129032308,26.0,64.0
2026-07-20,LYV,"LIVE NATION ENTERTAINMENT, INC.",180.22,0.0021,175.38,189.14,1.8429752066115663,-26.0,-60.0
2026-07-20,EWT,ISHARES:MSCI TAIWAN,97.33,-0.0283,94.75,102.91,2.1627906976744193,-39.0,-61.0
2026-07-20,TDW,TIDEWATER INC.,75.82,0.0159,73.11,79.32,1.2915129151291542,-46.0,-61.0
2026-07-20,DVN,DEVON ENERGY ,43.83,0.0186,41.47,45.48,-1.4303030303030313,-9.0,-62.0
2026-07-20,KLAC,KLA ,212.75,-0.0302,194.29,250.48,2.0438786565547113,-32.0,-67.0
