Date,Ticker,Ticker_name,Close,weekly_Return,week_pr_low,week_pr_high,week_rr_ratio,model_score,model_score_delta
2026-07-21,MS,MORGAN STANLEY,210.94,-0.0212,198.06,249.17,2.9681677018633543,101.0,83.0
2026-07-21,EWO,ISHARES:MSCI AUSTRIA,41.51,-0.005,39.37,44.87,1.5700934579439245,84.0,85.0
2026-07-21,GREK,GLBL X MSCI GREECE,74.68,0.0011,70.04,81.58,1.4870689655172393,79.0,71.0
2026-07-21,AKAM,"AKAMAI TECHNOLOGIES, INC.",123.13,0.0245,101.91,156.91,1.591894439208294,77.0,0.0
2026-07-21,EWI,ISHARES:MSCI ITALY,59.94,-0.0053,56.82,64.48,1.4551282051282084,75.0,71.0
2026-07-21,DG,DOLLAR GENERAL ,124.75,-0.008,111.06,141.78,1.2439737034331633,-93.0,-83.0
2026-07-21,AJG,ARTHUR J. GALLAGHER & CO.,253.66,-0.0009,224.42,292.84,1.3399452804377554,-102.0,-32.0
2026-07-21,BRO,"BROWN & BROWN, INC.",68.94,-0.0059,61.12,78.65,1.241687979539643,-102.0,-42.0
2026-07-21,GIS,"GENERAL MILLS, INC.",37.58,-0.0103,33.52,42.79,1.2832512315270954,-102.0,-75.0
2026-07-21,AWK,"AMERICAN WATER WORKS COMPANY, INC.",133.65,-0.0108,120.92,149.76,1.2655145326001556,-102.0,-75.0
