Date,Ticker,Ticker_name,Close,monthly_Return,month_pr_low,month_pr_high,month_rr_ratio,model_score,model_score_delta
2026-08-25,MRNA,"MODERNA, INC.",138.89,1.5336,40.53,181.65,-2.300280636108511,-23.0,-37.0
2026-08-25,PLTR,PALANTIR TECHNOLOGIES INC.,175.89,0.4293,108.99,214.18,-1.7471924784539032,-79.0,-33.0
2026-08-25,NEM,NEWMONT ,131.84,0.4069,83.16,144.27,-3.9163314561544635,-43.0,-72.0
2026-08-25,GDXJ,VANECK:JR GOLD MINERS,133.58,0.4004,84.77,149.89,-2.9926425505824708,-41.0,-51.0
2026-08-25,GDX,VANECK:GOLD MINERS,103.54,0.3973,66.03,114.32,-3.4795918367346985,-41.0,-51.0
2026-08-25,WDC,WESTERN DIGITAL ,435.38,-0.2009,374.86,869.54,7.17382683410443,-41.0,-69.0
2026-08-25,APP,APPLOVIN CORP,298.59,-0.2458,275.5,765.0,20.199653529666545,-0.0,48.0
2026-08-25,TTD,"THE TRADE DESK, INC.",13.27,-0.2644,9.85,23.64,3.032163742690059,-12.0,35.0
2026-08-25,DVA,DAVITA INC.,176.5,-0.2649,170.34,292.87,18.89123376623378,-0.0,9.0
2026-08-25,GEOS,GEOSPACE TECHNOLOGIES ,5.37,-0.2654,4.04,10.72,4.022556390977444,19.0,11.0
