Category,Buy,Neutral,Sell,Total,Buy_Pct,Neutral_Pct,Sell_Pct
Sector & Style ETFs,3,23,1,27,11.1,85.2,3.7
Indices,0,5,0,5,0.0,100.0,0.0
Futures,0,3,0,3,0.0,100.0,0.0
Currencies,1,5,0,6,16.7,83.3,0.0
Commodities,4,15,0,19,21.1,78.9,0.0
Bonds,0,13,0,13,0.0,100.0,0.0
Yields,0,3,0,3,0.0,100.0,0.0
Volatility,0,2,0,2,0.0,100.0,0.0
Foreign,5,32,1,38,13.2,84.2,2.6
Communication Services,3,17,0,20,15.0,85.0,0.0
Consumer Discretionary,0,38,9,47,0.0,80.9,19.1
Consumer Staples,2,23,10,35,5.7,65.7,28.6
Energy,12,9,0,21,57.1,42.9,0.0
Financials,2,60,14,76,2.6,78.9,18.4
Health Care,10,46,3,59,16.9,78.0,5.1
Industrials,13,64,3,80,16.3,80.0,3.8
Information Technology,18,57,0,75,24.0,76.0,0.0
Materials,2,22,2,26,7.7,84.6,7.7
Real Estate,0,22,8,30,0.0,73.3,26.7
Utilities,0,30,1,31,0.0,96.8,3.2
MR Discretion,6,27,4,37,16.2,73.0,10.8
Total,81,516,56,653,12.4,79.0,8.6
