Category,Buy,Neutral,Sell,Buy %,Neutral %,Sell %,R/R >= 3,R/R Neutral,R/R <= -3,MM Score Buy,MM Score Neutral,MM Score Sell
Sector & Style ETFs,1,26,0,3.7,96.3,0.0,14,13,0,3,18,6
Indices,1,4,0,20.0,80.0,0.0,4,1,0,1,4,0
Futures,0,3,0,0.0,100.0,0.0,1,2,0,0,1,2
Currencies,0,6,0,0.0,100.0,0.0,0,6,0,0,4,2
Commodities,0,19,0,0.0,100.0,0.0,1,18,0,1,13,5
Bonds,0,13,0,0.0,100.0,0.0,0,13,0,3,7,3
Yields,0,3,0,0.0,100.0,0.0,1,2,0,1,2,0
Volatility,0,2,0,0.0,100.0,0.0,0,1,1,0,2,0
Foreign,0,38,0,0.0,100.0,0.0,6,32,0,2,21,15
Communication Services,0,20,0,0.0,100.0,0.0,4,16,0,1,10,9
Consumer Discretionary,3,44,0,6.4,93.6,0.0,10,34,3,7,32,8
Consumer Staples,1,34,0,2.9,97.1,0.0,4,26,5,7,14,14
Energy,0,21,0,0.0,100.0,0.0,5,16,0,0,17,4
Financials,9,61,6,11.8,80.3,7.9,21,48,7,17,30,29
Health Care,2,54,3,3.4,91.5,5.1,9,46,4,4,24,31
Industrials,10,67,3,12.5,83.8,3.8,31,45,4,25,37,18
Information Technology,9,64,2,12.0,85.3,2.7,35,38,2,14,35,26
Materials,1,24,1,3.8,92.3,3.8,2,20,4,7,14,5
Real Estate,0,30,0,0.0,100.0,0.0,1,27,2,6,14,10
Utilities,0,31,0,0.0,100.0,0.0,0,30,1,17,12,2
MR Discretion,1,36,0,2.7,97.3,0.0,10,24,3,4,26,7
Total,38,600,15,5.8,91.9,2.3,159,458,36,120,337,196
